,gpt4o-mini_vote,gpt4o-mini_voor_l_prob,gpt4o-mini_tegen_lprob
192,voor,-0.06203726,-13.187037
193,voor,-0.10027611,-11.850276
194,voor,-0.003662668,-10.628663
195,tegen,-1.1383978,-0.38839784
196,voor,-0.07054517,-7.570545
197,voor,-0.0076845894,-10.007685
198,voor,-0.026350698,-13.901351
199,voor,-0.18984386,-1.8148439
200,voor,-0.10029013,-12.10029
201,voor,-0.113805056,-2.363805
202,voor,-0.018198876,-12.643199
203,voor,-0.0032034966,-13.628203
204,voor,-0.02329183,-13.523292
205,voor,-0.07895225,-13.328952
206,voor,-0.062028628,-13.937029
207,voor,-0.029806962,-11.654807
208,voor,-0.0038777427,-8.378878
209,voor,-0.3202578,-1.3202578
210,voor,-0.10028884,-12.600288
211,voor,-0.012572279,-10.887572
212,voor,-0.06202303,-12.437023
213,voor,-0.033703335,-11.158704
214,voor,-0.048648797,-13.048649
215,voor,-0.10030943,-14.600309
216,voor,-0.048643917,-12.923644
217,voor,-0.01109121,-14.761091
218,voor,-0.023293111,-14.8982935
219,voor,-0.12699352,-12.376993
220,voor,-0.062035687,-15.062036
221,voor,-0.4711002,-1.0961002
222,voor,-0.014192651,-15.389193
223,voor,-0.023287173,-12.398287
224,voor,-0.06203423,-15.437035
225,voor,-0.014214988,-12.7642145
226,voor,-0.029798856,-14.4047985
227,voor,-0.04304635,-12.793046
228,voor,-0.16029206,-13.035292
229,voor,-0.011084728,-13.886085
230,voor,-0.010440101,-7.38544
231,voor,-0.006749955,-12.88175
232,voor,-0.06202908,-11.687029
233,voor,-0.008654755,-11.883655
234,voor,-0.25203714,-12.252037
235,voor,-0.012810988,-6.387811
236,voor,-0.1603863,-9.535386
237,voor,-0.026359873,-11.65136
238,tegen,-6.378094,-0.0030941737
239,voor,-0.02062691,-10.395627
240,tegen,-8.126194,-0.0011943945
241,voor,-0.008723063,-9.633723
242,voor,-0.0620125,-13.437013
243,voor,-0.50816536,-1.0081654
244,voor,-0.023324793,-10.648325
245,voor,-0.24210069,-1.6171007
246,voor,-0.009811103,-11.009811
247,voor,-0.5954182,-0.8454182
248,voor,-0.5293292,-0.9043292
249,voor,-0.14293425,-2.1429343
250,voor,-0.026552126,-8.651552
251,voor,-0.02348247,-8.648482
252,voor,-0.1148065,-6.3648067
253,voor,-0.014219566,-14.514219
254,voor,-0.048649587,-14.04865
255,voor,-0.12705326,-10.252053
256,voor,-0.009814173,-11.134814
257,voor,-0.022841938,-4.772842
258,tegen,-1.1499077,-0.39990774
259,voor,-0.020609276,-10.770609
260,voor,-0.003232256,-7.2532325
261,voor,-0.04866004,-11.42366
262,voor,-0.016101707,-10.766102
263,voor,-0.0076429523,-13.507643
264,voor,-0.04864505,-12.548645
265,voor,-0.009857849,-9.759858
266,tegen,-6.511624,-0.0116237225
267,voor,-0.008650857,-13.758651
268,voor,-0.023293111,-13.0232935
269,voor,-0.25207242,-9.877072
270,voor,-0.16522141,-2.2902215
271,voor,-0.008653807,-12.758654
272,voor,-0.011118565,-10.636119
273,voor,-0.0045059617,-7.879506
274,voor,-0.005267788,-12.380268
275,voor,-0.0076500457,-13.00765
276,voor,-0.018230133,-11.26823
277,voor,-0.012029677,-5.2620296
278,voor,-0.0057619307,-7.630762
279,voor,-0.048645843,-16.048645
280,tegen,-6.0039763,-0.0039764126
281,voor,-0.005268738,-12.880269
282,voor,-0.10027461,-14.725275
283,voor,-0.048654933,-11.798655
284,voor,-0.033710595,-11.9087105
285,voor,-0.07897329,-13.578974
286,voor,-0.41010466,-1.1601046
287,voor,-0.20154704,-14.326547
288,voor,-0.112812504,-2.7378125
289,tegen,-11.001598,-0.001598772
290,voor,-0.023294393,-14.773294
291,voor,-0.029801289,-16.0298
292,voor,-0.12699708,-16.126997
293,voor,-0.10027082,-13.725271
294,voor,-0.036558595,-3.9115586
295,tegen,-5.8833632,-0.008363153
296,voor,-0.01607977,-14.51608
297,voor,-0.23353824,-1.6085383
298,voor,-0.01821292,-10.893213
299,voor,-0.020583117,-13.395583
300,voor,-0.0051495545,-7.6301494
301,voor,-0.018202154,-12.268202
302,voor,-0.0086557,-13.883656
303,voor,-0.023297423,-15.148297
304,voor,-0.0067491243,-14.756749
305,voor,-0.01821245,-15.268212
306,voor,-0.055095647,-8.805096
307,voor,-0.020587552,-13.520588
308,voor,-0.02059304,-11.145593
309,voor,-0.12702648,-13.502027
310,voor,-0.2015526,-15.201552
311,voor,-0.07808911,-2.828089
312,voor,-0.029849531,-10.02985
313,tegen,-2.4708831,-0.09588318
314,voor,-0.008750373,-9.25875
315,voor,-0.012847711,-8.137848
316,tegen,-7.2518334,-0.001833442
317,voor,-0.0036900977,-10.00369
318,voor,-0.04627148,-3.7962716
319,voor,-0.20962441,-1.7096244
320,tegen,-10.875845,-0.0008450066
321,voor,-0.038115047,-13.6631155
322,tegen,-11.379401,-0.004401275
323,tegen,-9.125577,-0.00057710084
324,voor,-0.038084287,-12.788084
325,voor,-0.090148434,-6.8401484
326,voor,-0.011097104,-12.386097
327,tegen,-4.8944283,-0.019428294
328,tegen,-1.5152116,-0.26521155
329,voor,-0.011107249,-11.136107
330,voor,-0.023298353,-11.648298
331,tegen,-4.886217,-0.011216881
332,voor,-0.0206011,-11.270601
333,voor,-0.0789788,-14.203979
334,voor,-0.033707947,-14.533708
335,voor,-0.020583699,-13.020584
336,voor,-0.10027978,-12.22528
337,voor,-0.020588601,-13.520589
338,voor,-0.0056534717,-7.8806534
339,voor,-0.07894829,-13.953948
340,voor,-0.026366955,-11.526367
341,voor,-0.0076976027,-9.882698
342,voor,-0.048639372,-14.548639
343,voor,-0.02635151,-14.651352
344,voor,-0.006745805,-13.631745
345,voor,-0.020594912,-13.270595
346,voor,-0.06553313,-2.8155332
347,voor,-0.0069120377,-5.881912
348,voor,-0.10028215,-13.350282
349,voor,-0.0052698036,-12.63027
350,voor,-0.029804412,-14.654804
351,voor,-0.014196765,-15.139196
352,voor,-0.04865743,-11.298657
353,voor,-0.12699477,-13.626995
354,voor,-0.0111429645,-10.261143
355,voor,-0.00472928,-9.629729
356,voor,-0.048943866,-8.1739435
357,tegen,-3.1698415,-0.044841643
358,tegen,-2.9311352,-0.05613519
359,voor,-0.08292466,-2.5829246
360,voor,-0.014234019,-10.264234
361,voor,-0.003634635,-12.253634
362,voor,-0.011349004,-8.261349
363,voor,-0.0060622254,-9.3810625
364,voor,-0.016080827,-13.891081
365,voor,-0.014216277,-11.764216
366,voor,-0.048653223,-14.798654
367,voor,-0.026360214,-11.9013605
368,voor,-0.018215735,-11.018216
369,voor,-0.038096916,-13.413097
370,voor,-0.07896162,-14.078961
371,voor,-0.023301382,-14.148301
372,voor,-0.04864596,-14.798646
373,tegen,-2.0276163,-0.15261629
374,voor,-0.10027772,-14.475278
375,voor,-0.014209931,-13.76421
376,voor,-0.026355222,-13.651355
377,voor,-0.020587552,-14.520588
378,voor,-0.043060735,-13.66806
379,voor,-0.019009067,-7.144009
380,voor,-0.0621382,-9.187139
381,voor,-0.12700297,-11.002003
382,voor,-0.100288406,-13.850288
383,voor,-0.03371209,-11.408712
384,voor,-0.023307556,-11.398308
385,voor,-0.023287173,-14.648287
386,voor,-0.0076377476,-14.132638
387,voor,-0.005963988,-13.255964
388,voor,-0.023293694,-12.7732935
389,voor,-0.043398317,-8.043398
390,voor,-0.014213687,-13.264214
391,voor,-0.0076770154,-10.507677
392,voor,-0.25935334,-1.8843534
393,voor,-0.28367677,-1.5336767
394,voor,-0.02636173,-12.026361
395,voor,-0.05494367,-12.054944
396,voor,-0.026408862,-10.151409
397,voor,-0.014420404,-4.6394205
398,voor,-0.48596957,-0.98596954
399,voor,-0.026350234,-15.15135
400,voor,-0.16029987,-13.6603
401,voor,-0.2535119,-6.628512
402,voor,-0.016074726,-14.141075
403,voor,-0.35201603,-1.227016
404,voor,-0.02394628,-4.2739463
405,voor,-0.010443864,-7.3854437
406,voor,-0.12701862,-11.627019
407,voor,-0.020606121,-11.645606
408,voor,-0.007307734,-6.6323075
409,voor,-0.038101852,-15.913102
410,voor,-0.012547674,-13.1375475
411,voor,-0.0068046604,-10.006804
412,voor,-0.07897329,-16.828974
413,voor,-0.16513804,-5.4151382
414,voor,-0.0076390444,-14.007639
415,voor,-0.062441073,-4.312441
416,voor,-0.013894917,-4.763895
417,voor,-0.040990725,-3.5409908
418,voor,-0.03810357,-14.288103
419,voor,-0.062045433,-10.562045
420,voor,-0.014201354,-13.514201
421,voor,-0.038096577,-13.163096
422,voor,-0.018186936,-12.143187
423,voor,-0.030389134,-3.655389
424,voor,-0.0041084425,-12.379108
425,voor,-0.078985296,-15.078985
426,voor,-0.038093705,-14.788094
427,voor,-0.006020403,-9.881021
428,voor,-0.007643664,-14.257644
429,voor,-0.011097693,-12.761098
430,voor,-0.0076447288,-12.257645
431,voor,-0.043066334,-11.543066
432,voor,-0.1002816,-13.850282
433,voor,-0.006034143,-9.756034
434,voor,-0.02059234,-15.020593
435,voor,-0.12704192,-13.877042
436,voor,-0.038108394,-12.163109
437,voor,-0.04863392,-14.173634
438,voor,-0.008726611,-9.758727
439,voor,-0.014203351,-15.889203
440,voor,-0.07899422,-10.453994
441,voor,-0.006161278,-8.631162
442,tegen,-0.83286273,-0.58286273
443,voor,-0.12701157,-15.627011
444,voor,-0.020593626,-14.395594
445,voor,-0.07901471,-9.579015
446,voor,-0.012656682,-9.262656
447,voor,-0.0067521906,-12.756752
448,voor,-0.16029967,-12.535299
449,voor,-0.01115134,-9.636151
450,voor,-0.01607613,-15.391076
451,voor,-0.0059545143,-14.005955
452,voor,-0.020610094,-10.77061
453,voor,-0.040290218,-6.1652904
454,voor,-0.0789583,-13.2039585
455,voor,-0.008945208,-8.133945
456,voor,-0.018202037,-12.143202
457,voor,-0.025023716,-6.400024
458,voor,-0.006778492,-10.631779
459,tegen,-12.395798,-0.020797735
460,voor,-0.12700959,-12.127009
461,voor,-0.016075427,-13.766075
462,voor,-0.10031817,-9.975318
463,voor,-0.09610931,-3.0961094
464,voor,-0.12700906,-14.002009
465,voor,-0.0076424754,-13.632643
466,voor,-0.033696882,-13.783697
467,voor,-0.014213571,-12.889214
468,voor,-0.049645826,-5.049646
469,voor,-0.10027783,-13.850278
470,voor,-0.00908875,-7.7590885
471,voor,-0.012602419,-10.262603
472,voor,-0.012542021,-14.137542
473,voor,-0.018750422,-7.51875
474,voor,-0.038115047,-11.0381155
475,voor,-0.008686429,-6.8836865
476,voor,-0.12705326,-10.127053
477,voor,-0.062026843,-11.687027
478,voor,-0.0052947155,-10.630295
479,voor,-0.07903927,-9.32904
480,voor,-0.029958632,-8.779959
481,voor,-0.014219917,-12.88922
482,voor,-0.020117048,-6.2701173
483,voor,-0.008703448,-10.008703
484,voor,-0.12701914,-10.877019
485,voor,-0.0048409156,-8.629841
486,voor,-0.01710683,-6.892107
487,voor,-0.026349766,-13.65135
488,voor,-0.011088028,-14.886088
489,voor,-0.00979753,-14.759797
490,voor,-0.11602786,-2.6160278
491,voor,-0.033699527,-13.7837
492,voor,-0.07896536,-14.078965
493,voor,-0.160354,-9.785354
494,voor,-0.016084578,-12.766085
495,voor,-0.048640843,-11.548641
496,voor,-0.048679683,-14.423679
497,voor,-0.038100816,-11.788101
498,voor,-0.02982004,-11.02982
499,voor,-0.06202897,-11.687029
500,voor,-0.16031043,-13.160311
501,tegen,-0.7868174,-0.6618174
502,voor,-0.04864539,-12.798645
503,voor,-0.048653793,-15.298654
504,voor,-0.25205427,-13.877054
505,voor,-0.026353711,-12.526354
506,tegen,-0.762186,-0.637186
507,voor,-0.07895555,-12.328956
508,voor,-0.0067880745,-10.256788
509,voor,-0.38697046,-14.3869705
510,voor,-0.011103241,-11.011104
511,voor,-0.014207348,-14.764207
512,voor,-0.0059665963,-12.380966
513,voor,-0.004663661,-12.754663
514,voor,-0.062040057,-12.56204
515,voor,-0.0205983,-14.645598
516,voor,-0.008841233,-8.6338415
517,voor,-0.009867998,-9.634868
518,voor,-0.023324793,-10.648325
519,voor,-0.12701997,-17.50202
520,voor,-0.016073551,-14.266073
521,tegen,-6.003838,-0.0038380718
522,voor,-0.16030344,-16.785303
523,tegen,-5.1552444,-0.030244347
524,voor,-0.5844663,-0.8344663
525,voor,-0.018200867,-13.643201
526,voor,-0.051535822,-3.1765358
527,voor,-0.00776492,-9.132765
528,voor,-0.008653807,-14.008654
529,tegen,-1.9121056,-0.16210556
530,voor,-0.25202128,-13.502021
531,tegen,-1.138273,-0.38827303
532,voor,-0.5282781,-0.9032781
533,voor,-0.008653573,-12.633654
534,voor,-0.0036708524,-10.253671
535,voor,-0.038113665,-11.663114
536,voor,-0.0028526634,-11.002852
537,voor,-0.033686616,-12.783687
538,tegen,-0.90749663,-0.53249663
539,voor,-0.062018547,-15.437018
540,voor,-0.01819677,-13.768197
541,voor,-0.016116012,-10.391116
542,voor,-0.4772898,-0.9772898
543,voor,-0.10027794,-11.350278
544,voor,-0.06205933,-12.062059
545,voor,-0.014216277,-11.389216
546,voor,-0.0047838497,-6.2547836
547,voor,-0.041682392,-3.2916825
548,voor,-0.014204875,-12.889205
549,voor,-0.006867521,-9.131867
550,voor,-0.0041200733,-11.75412
551,voor,-0.011098874,-11.511099
552,voor,-0.0052800076,-11.63028
553,voor,-0.07895115,-13.078951
554,tegen,-3.2915237,-0.041523673
555,voor,-0.018202037,-11.393202
556,voor,-0.033733066,-10.158733
557,tegen,-7.501683,-0.0016833937
558,voor,-0.0067821657,-10.631783
559,voor,-0.012551683,-12.762551
560,voor,-0.009154549,-7.6341543
561,voor,-0.055019718,-12.430019
562,voor,-0.02980731,-14.404807
563,voor,-0.0046526226,-13.004653
564,voor,-0.009261204,-6.009261
565,voor,-0.062037934,-11.687037
566,voor,-0.0046469267,-13.754647
567,voor,-0.078965686,-13.328966
568,tegen,-11.000764,-0.0007638839
569,voor,-0.033961136,-8.283961
570,voor,-0.07297493,-2.947975
571,voor,-0.00865133,-14.383652
572,voor,-0.10029023,-12.97529
573,voor,-0.065530345,-5.6905303
574,voor,-0.27316988,-1.6481699
575,voor,-0.04864664,-11.923647
576,voor,-0.25205833,-13.752058
577,tegen,-3.2892063,-0.03920632
578,voor,-0.020725815,-8.895726
579,tegen,-1.0703726,-0.44537255
580,voor,-0.1603342,-13.660335
581,voor,-0.00596198,-14.005962
582,voor,-0.062015414,-13.062016
583,voor,-0.029804181,-12.904804
584,voor,-0.10028862,-14.975288
585,voor,-0.12702733,-12.6270275
586,voor,-0.0033357523,-7.628336
587,voor,-0.01736976,-4.2673697
588,voor,-0.06203468,-13.687035
589,voor,-0.016125163,-9.891125
590,voor,-0.12934592,-6.129346
591,voor,-0.11602786,-2.6160278
592,voor,-0.018208124,-11.3932085
593,voor,-0.10028462,-13.850285
594,voor,-0.01607367,-15.016073
595,voor,-0.10028258,-13.225283
596,voor,-0.07894818,-12.578948
597,voor,-0.06219623,-8.812196
598,voor,-0.038093705,-13.413094
599,voor,-0.033711404,-12.158711
600,voor,-0.016081883,-13.766082
601,voor,-0.062026616,-12.312027
602,voor,-0.006761437,-11.381762
603,voor,-0.014214275,-11.1392145
604,voor,-0.029805226,-11.904805
605,voor,-0.10028549,-11.975286
606,voor,-0.08381083,-4.333811
607,voor,-0.006757879,-12.506758
608,voor,-0.0620423,-13.937042
609,voor,-0.02330965,-11.14831
610,voor,-0.25533104,-1.505331
611,voor,-0.014201935,-12.264202
612,voor,-0.007664717,-10.882665
613,voor,-0.20150691,-13.826507
614,voor,-0.07896481,-13.578965
615,voor,-0.00985159,-10.009851
616,voor,-0.01740749,-5.7674074
617,voor,-0.012718478,-5.0127187
618,voor,-0.14724734,-5.5222473
619,voor,-0.01227464,-5.6372747
620,voor,-0.005984847,-6.630985
621,tegen,-3.654144,-0.029143965
622,voor,-0.0077240993,-9.507724
623,voor,-0.26149428,-1.5114943
624,voor,-0.026388658,-10.151389
625,voor,-0.078958854,-12.9539585
626,voor,-0.04306131,-14.668061
627,tegen,-6.502627,-0.0026270237
628,voor,-0.016088687,-11.7660885
629,voor,-0.011090147,-12.26109
630,tegen,-4.512159,-0.012158877
631,voor,-0.014204051,-14.014204
632,voor,-0.1002994,-15.2253
633,voor,-0.10030814,-10.850308
634,voor,-0.0111045325,-11.761105
635,voor,-0.10028333,-13.100284
636,voor,-0.048637208,-13.423637
637,voor,-0.04312377,-9.668124
638,tegen,-8.127613,-0.0026126401
639,voor,-0.0060105636,-10.006011
640,voor,-0.007652892,-11.507653
641,voor,-0.029982578,-8.654983
642,voor,-0.004113781,-12.129114
643,voor,-0.09908599,-2.599086
644,voor,-0.04864732,-13.673647
645,voor,-0.007475648,-7.257476
646,voor,-0.016078008,-12.641078
647,voor,-0.023316406,-10.773316
648,tegen,-12.000747,-0.00074626005
649,tegen,-1.1427516,-0.39275157
650,voor,-0.0160915,-11.641091
651,tegen,-9.000892,-0.000891452
652,voor,-0.10028582,-15.225286
653,tegen,-3.0523436,-0.05234367
654,voor,-0.0036380843,-11.503638
655,voor,-0.029804181,-14.779804
656,voor,-0.01260348,-10.137604
657,voor,-0.07898915,-14.828989
658,voor,-0.03809853,-14.288098
659,voor,-0.014557039,-5.139557
660,voor,-0.033702873,-12.033703
661,voor,-0.009895151,-9.384895
662,voor,-0.004713022,-9.879713
663,voor,-0.0076502836,-12.38265
664,voor,-0.029824095,-16.654823
665,voor,-0.009812169,-10.884812
666,voor,-0.048660602,-12.67366
667,voor,-0.043147285,-9.293147
668,voor,-0.018205896,-14.143206
669,voor,-0.062043868,-13.812044
670,voor,-0.01427445,-9.764275
671,voor,-0.033710133,-13.9087105
672,voor,-0.048642434,-13.298642
673,voor,-0.006462525,-6.7564626
674,voor,-0.0046898806,-10.37969
675,voor,-0.01256298,-11.637563
676,tegen,-4.392134,-0.017134251
677,voor,-0.004960732,-8.129961
678,tegen,-11.126976,-0.001975742
679,voor,-0.08826449,-2.5882645
680,voor,-0.026348025,-13.401348
681,voor,-0.06270612,-3.4377062
682,tegen,-14.250495,-0.0004950099
683,voor,-0.048647996,-11.923648
684,tegen,-10.875628,-0.00062808703
685,voor,-0.012559094,-12.762559
686,voor,-0.062049914,-13.43705
687,tegen,-5.011232,-0.01123197
688,tegen,-2.1300151,-0.1300151
689,voor,-0.029799672,-16.0298
690,voor,-0.020590119,-11.89559
691,voor,-0.055031456,-9.680032
692,voor,-0.062043082,-13.812043
693,voor,-0.038103227,-14.038103
694,voor,-0.008276962,-5.383277
695,voor,-0.016075075,-13.641075
696,voor,-0.017449766,-4.64245
697,voor,-0.021356147,-4.021356
698,voor,-0.1602947,-12.160295
699,voor,-0.01115276,-9.761153
700,voor,-0.016079888,-14.01608
701,tegen,-6.7546453,-0.004645265
702,voor,-0.018226622,-10.518227
703,voor,-0.004158534,-10.254159
704,voor,-0.0052726534,-11.630273
705,voor,-0.009574518,-7.0095744
706,voor,-0.029806383,-12.904806
707,voor,-0.07896448,-13.078964
708,tegen,-8.126072,-0.0010722271
709,voor,-0.033707716,-11.408708
710,tegen,-11.875655,-0.00065489317
711,tegen,-4.1438246,-0.018824365
712,voor,-0.012569227,-14.137569
713,voor,-0.0029365793,-9.377936
714,tegen,-1.8079444,-0.18294442
715,voor,-0.0061788135,-8.506179
716,tegen,-10.876382,-0.0013821403
717,voor,-0.05526441,-8.180264
718,voor,-0.010610315,-7.13561
719,voor,-0.013920427,-6.6389203
720,voor,-0.06203479,-12.687035
721,tegen,-10.253019,-0.0030191836
722,voor,-0.03808728,-15.413087
723,voor,-0.008654165,-13.258655
724,voor,-0.02329323,-14.8982935
725,tegen,-14.501496,-0.0014962917
726,tegen,-3.1716588,-0.046658717
727,voor,-0.06203099,-12.312031
728,voor,-0.0036629061,-10.753663
729,voor,-0.02951568,-3.6545157
730,voor,-0.019690154,-4.14469
731,voor,-0.029806618,-12.529807
732,voor,-0.020584863,-14.270585
733,voor,-0.029900204,-9.154901
734,voor,-0.06417066,-6.189171
735,voor,-0.078964144,-12.703964
736,voor,-0.029818535,-10.404819
737,voor,-0.10667441,-2.3566744
738,voor,-0.026726125,-7.9017262
739,voor,-0.020702813,-9.145702
740,voor,-0.00900404,-8.009004
741,voor,-0.07896315,-14.578963
742,voor,-0.0056541828,-5.8806543
743,voor,-0.10029034,-16.47529
744,voor,-0.009789617,-13.884789
745,voor,-0.004129692,-11.254129
746,voor,-0.0017450349,-11.876745
747,voor,-0.10027729,-16.475277
748,voor,-0.048649587,-13.79865
749,voor,-0.01608317,-13.266083
750,voor,-0.052070998,-3.302071
751,voor,-0.009806617,-11.759807
752,voor,-0.011154522,-9.761154
753,voor,-0.07037552,-8.070375
754,voor,-0.02353359,-8.398534
