,gpt-3.5_centristisch,gpt-3.5_centrist_voor_lprob,gpt-3.5_centrist_tegen_lprob,gpt-3.5_rechts,gpt-3.5_right_voor_lprob,gpt-3.5_right_tegen_lprob,gpt-3.5_rightcons_vote,gpt-3.5_rightcons_voor_l_prob,gpt-3.5_rightcons_tegen_lprob
73,voor,-0.044731196,-14.220041,tegen,-2.05823,-16.394331,tegen,-5.428586,-15.962682
74,tegen,-5.4218245,-13.758044,tegen,-4.634527,-13.643341,tegen,-3.5065196,-14.317051
75,voor,-0.1941885,-13.358848,tegen,-0.93467593,-12.695056,tegen,-3.4038072,-15.396961
76,voor,-0.32252705,-9.429308,tegen,-1.9848788,-11.048607,tegen,-2.8832638,-11.803998
77,tegen,-4.3510466,-14.183412,tegen,-3.5477574,-15.904162,tegen,-3.9578176,-14.560101
78,voor,-0.045613647,-11.463553,tegen,-1.0457356,-13.24369,tegen,-2.182897,-15.041367
79,voor,-0.20927925,-13.88234,tegen,-3.226967,-14.494934,tegen,-5.0872507,-15.696706
80,tegen,-1.8581363,-11.639007,tegen,-3.6387162,-13.9979515,tegen,-5.266729,-14.592684
81,tegen,-4.363978,-14.600359,tegen,-0.9515896,-12.529865,tegen,-2.4852393,-14.55769
82,voor,-0.0064642983,-13.200817,tegen,-2.6956952,-13.363229,tegen,-6.5499873,-15.704412
83,tegen,-1.4906291,-11.289047,tegen,-2.7309227,-14.983856,tegen,-5.1397166,-15.188253
84,tegen,-5.0808253,-13.924416,tegen,-2.1071353,-12.168527,tegen,-3.9896624,-14.360741
85,voor,-0.047502894,-9.224564,tegen,-1.5068,-11.546774,tegen,-2.2937326,-13.65322
86,voor,-0.007060485,-13.489671,tegen,-3.239498,-15.764942,tegen,-6.351068,-14.886349
87,voor,-0.19576493,-12.139692,tegen,-3.8882797,-15.264661,tegen,-7.5313687,-15.425578
88,voor,-0.07626044,-13.335025,tegen,-0.9184004,-12.601081,tegen,-3.0127854,-15.151758
89,tegen,-1.2440999,-12.709064,tegen,-0.9110362,-13.850179,tegen,-1.3798966,-14.399318
90,tegen,-0.7642225,-11.780808,voor,-0.6666206,-12.538879,tegen,-1.2680942,-15.273019
91,voor,-0.021847887,-13.215642,voor,-0.26685813,-15.477313,tegen,-1.9646959,-14.349246
92,voor,-0.06669059,-12.619143,voor,-0.45915392,-12.463398,tegen,-4.3740954,-14.502461
93,tegen,-1.9125757,-14.692924,tegen,-0.76216096,-12.60627,tegen,-3.2276592,-13.606674
94,voor,-0.026168846,-13.523413,voor,-0.4176964,-12.537228,tegen,-1.9678288,-14.729113
95,tegen,-3.9233632,-15.449376,tegen,-2.0796878,-15.415082,tegen,-4.1263137,-14.800345
96,voor,-0.59287775,-12.090392,tegen,-2.3061347,-12.79407,tegen,-3.231972,-14.911861
97,tegen,-1.2812179,-13.191435,tegen,-2.0007677,-12.31923,tegen,-3.9462037,-15.238753
98,voor,-0.00061950804,-15.624811,voor,-0.4598287,-13.380542,tegen,-2.2403839,-14.824546
99,tegen,-2.6665416,-15.140287,voor,-0.63764095,-16.862957,tegen,-1.9864568,-15.41899
100,tegen,-3.0579784,-13.6335,tegen,-4.470034,-13.3866205,tegen,-5.470602,-14.210701
101,tegen,-1.6910503,-12.596694,tegen,-1.1679204,-11.682521,tegen,-3.1053886,-13.889294
102,tegen,-1.9306936,-13.058234,voor,-0.538302,-14.942483,tegen,-3.421628,-15.405049
103,voor,-0.0013936884,-14.609817,voor,-0.60800683,-14.739734,tegen,-4.540513,-14.766959
104,tegen,-1.8319111,-12.664707,tegen,-3.8982587,-15.045859,tegen,-8.697098,-16.169325
105,voor,-0.023016475,-12.784587,tegen,-4.6394906,-14.760439,tegen,-10.972736,-16.500103
106,tegen,-1.802237,-15.748867,tegen,-1.1047724,-12.790112,tegen,-1.8482549,-15.248039
107,tegen,-3.527115,-13.050358,tegen,-1.9896458,-12.886712,tegen,-2.3492095,-14.020329
108,tegen,-6.4613233,-15.103989,tegen,-1.4328759,-15.18226,tegen,-0.89081776,-13.68465
109,voor,-0.095675856,-16.586199,voor,-0.20676504,-13.694415,tegen,-1.059361,-15.339136
110,tegen,-2.681931,-11.585336,tegen,-4.3722253,-14.165594,tegen,-6.162113,-14.655647
111,voor,-0.015132774,-14.644934,voor,-0.58667845,-15.917748,tegen,-3.1333752,-15.777027
112,voor,-0.31554466,-14.108701,tegen,-3.5054939,-14.65787,tegen,-4.8317657,-15.224361
113,voor,-0.00557251,-14.28296,tegen,-1.5994288,-15.213294,tegen,-3.2320755,-15.122741
114,voor,-0.011524032,-13.433968,voor,-0.35342288,-11.809333,tegen,-2.137438,-11.095827
115,voor,-0.0714639,-12.142417,tegen,-1.279108,-12.567009,tegen,-2.605268,-15.243505
116,voor,-0.076271586,-12.066014,tegen,-1.348908,-15.515325,tegen,-2.105182,-14.138566
117,voor,-0.520342,-12.261845,voor,-0.25365067,-15.575264,tegen,-2.2439618,-14.845003
118,voor,-0.4384779,-12.416949,tegen,-1.0717318,-13.654381,tegen,-4.179854,-15.100592
119,voor,-0.022055821,-13.826402,tegen,-1.0579685,-12.435713,tegen,-3.3703413,-15.098859
120,voor,-0.25986257,-12.887175,tegen,-1.4937391,-12.137698,tegen,-3.2064548,-14.705321
121,voor,-0.5358229,-12.239684,tegen,-2.5552652,-12.648569,tegen,-6.507531,-14.751855
122,tegen,-2.039393,-16.159798,tegen,-1.8149862,-15.454431,tegen,-2.9268577,-14.392812
123,voor,-0.10205378,-13.930724,tegen,-0.8109522,-13.310985,tegen,-3.127033,-16.137781
124,voor,-0.38860008,-12.833646,tegen,-2.3654542,-13.588202,tegen,-3.8650424,-16.047148
125,voor,-0.018262444,-13.257263,voor,-0.16720034,-11.661297,voor,-0.18486822,-11.384281
126,voor,-0.007846283,-12.81158,tegen,-1.1006787,-13.784881,tegen,-2.3650515,-15.387402
127,tegen,-2.466894,-14.198893,voor,-0.49126562,-15.296533,tegen,-4.2341456,-15.952176
128,tegen,-0.7669211,-12.957606,voor,-0.5887919,-11.3313055,tegen,-1.3672074,-12.300101
129,voor,-0.20386368,-14.812285,tegen,-1.396357,-13.372711,tegen,-3.3909245,-14.435783
130,tegen,-3.3534102,-13.669958,tegen,-2.0995102,-11.662214,tegen,-4.656222,-14.8882265
131,tegen,-3.2786844,-15.458662,tegen,-1.2632761,-15.29415,tegen,-1.9436177,-15.341163
132,tegen,-3.5504515,-13.387604,tegen,-2.996813,-14.973843,tegen,-3.3337312,-14.32253
133,voor,-0.33737665,-12.648074,tegen,-1.7016869,-15.687315,tegen,-2.2234862,-15.084568
134,tegen,-3.341756,-13.548434,tegen,-0.7501914,-12.982934,tegen,-3.2272947,-13.054712
135,voor,-0.002960704,-14.52473,voor,-0.28844973,-11.890174,tegen,-2.0066528,-14.222374
136,tegen,-0.99568105,-13.782907,voor,-0.494984,-12.591257,voor,-0.2404265,-14.862708
137,tegen,-4.8489075,-14.925785,tegen,-3.4749398,-11.898446,tegen,-5.484595,-14.30177
138,tegen,-1.937808,-13.216281,tegen,-0.9031106,-12.345749,tegen,-3.8348472,-14.703317
139,tegen,-3.7812645,-12.490546,voor,-0.23188443,-12.783361,voor,-0.546483,-14.595792
140,voor,-0.17761792,-11.560972,voor,-0.3546092,-12.675162,tegen,-2.4833539,-12.820958
141,tegen,-6.119376,-14.789956,tegen,-5.617657,-15.43934,tegen,-6.7433968,-15.279598
142,voor,-0.006546147,-14.728037,voor,-0.5671269,-12.372707,tegen,-4.502391,-15.833764
143,tegen,-6.0028796,-14.50311,tegen,-2.1794996,-15.587739,tegen,-4.1248593,-14.830032
144,tegen,-6.0223117,-14.607597,tegen,-2.865005,-14.139142,tegen,-5.447435,-16.044952
145,tegen,-3.8161645,-15.069371,tegen,-2.5039098,-16.163084,tegen,-2.5068588,-15.267715
146,tegen,-0.7376699,-12.646373,tegen,-7.2733192,-16.698925,tegen,-10.822195,-16.846617
147,voor,-0.08684438,-12.9212675,tegen,-0.81023127,-12.197286,tegen,-2.5415642,-15.01603
148,voor,-0.0033238651,-13.635303,tegen,-3.5964937,-14.493888,tegen,-6.394523,-16.129814
149,tegen,-3.3775015,-14.448953,tegen,-1.5380794,-12.102168,tegen,-6.446672,-15.712425
150,voor,-0.021120641,-12.509969,tegen,-2.291537,-11.311677,tegen,-1.454846,-11.604781
151,tegen,-8.39838,-13.699997,tegen,-2.408162,-13.721713,tegen,-1.9625422,-15.149018
152,voor,-0.5359769,-15.760963,tegen,-3.6933882,-14.568495,tegen,-6.574008,-15.519036
153,tegen,-8.687453,-15.965327,tegen,-5.841159,-14.021668,tegen,-9.199253,-16.378405
154,voor,-0.0042225206,-15.156332,tegen,-1.3674204,-13.371527,tegen,-4.6019,-16.30344
155,tegen,-1.6169397,-12.6007595,tegen,-2.1004858,-13.26401,tegen,-3.1912758,-15.243009
156,tegen,-1.9809092,-15.427444,tegen,-1.1515856,-12.804511,voor,-0.5880819,-15.393245
157,tegen,-1.0122085,-11.9176445,tegen,-2.0281456,-14.499957,tegen,-4.7604394,-13.411729
158,tegen,-0.74955714,-13.461241,tegen,-0.91036266,-12.631235,tegen,-3.754571,-14.914632
159,tegen,-4.6002316,-15.160666,tegen,-2.236602,-15.114701,tegen,-2.4323025,-14.073099
160,tegen,-2.0856533,-11.907999,tegen,-4.6051993,-15.061449,tegen,-5.790975,-15.378717
161,voor,-0.003969763,-14.582505,tegen,-2.0254886,-14.734332,tegen,-2.9535515,-14.711261
162,tegen,-1.4942126,-13.486251,voor,-0.3584868,-15.393823,tegen,-2.187117,-13.258894
163,tegen,-2.9885814,-13.592261,tegen,-4.2417274,-15.718452,tegen,-7.7025685,-15.70681
164,voor,-0.016433503,-14.787111,tegen,-1.5141363,-13.147021,tegen,-4.066606,-13.489739
165,voor,-0.29050788,-14.49655,tegen,-0.98056984,-12.444206,tegen,-4.5017657,-15.514933
166,voor,-0.018706553,-14.880418,tegen,-1.1266377,-12.131295,tegen,-1.5150048,-14.257387
167,tegen,-5.155577,-14.289105,voor,-0.6708561,-12.856201,tegen,-1.5291822,-12.210836
168,tegen,-2.748977,-13.506425,tegen,-3.2382815,-14.709196,tegen,-4.5889015,-14.763912
169,voor,-0.09548712,-12.958326,voor,-0.44162583,-11.483622,tegen,-3.189656,-14.725919
170,tegen,-9.137045,-14.375668,tegen,-5.502748,-14.525118,tegen,-8.185146,-15.125883
171,tegen,-3.6015224,-13.051155,tegen,-4.7907777,-11.891229,tegen,-3.9332187,-10.990935
172,tegen,-2.4682057,-11.355311,tegen,-1.4000316,-11.865242,tegen,-3.9612598,-15.032663
173,tegen,-1.5711998,-13.483187,tegen,-3.1059055,-15.223286,tegen,-4.6566854,-15.153193
174,tegen,-8.322067,-14.950106,tegen,-3.7856097,-15.108171,tegen,-4.365412,-14.182964
175,tegen,-1.2428612,-13.702118,tegen,-1.4324669,-14.797398,tegen,-3.762198,-14.547299
176,voor,-0.8719245,-9.985965,tegen,-3.1433434,-12.556165,tegen,-4.9557104,-10.708491
177,voor,-0.6178852,-11.768396,tegen,-2.7916281,-12.379122,tegen,-5.9114738,-15.555602
178,tegen,-0.8929845,-13.435686,tegen,-1.6467946,-13.119651,tegen,-3.1853964,-15.626608
179,voor,-0.5743404,-15.784424,tegen,-1.4104939,-12.086355,tegen,-3.2815669,-14.637428
180,tegen,-1.549237,-13.890992,tegen,-1.0559796,-15.437484,tegen,-1.4376271,-14.765288
181,voor,-0.014397721,-13.456599,voor,-0.36769235,-15.052941,tegen,-2.7393446,-14.333264
182,voor,-0.0099941725,-14.148468,tegen,-2.8737354,-14.82468,tegen,-4.687691,-16.468586
183,tegen,-1.0291908,-16.05644,tegen,-1.8434585,-12.816084,tegen,-2.415171,-14.382589
184,voor,-0.20898177,-12.325433,tegen,-1.3411986,-13.025861,tegen,-2.575397,-14.58582
185,voor,-0.28407297,-13.302271,tegen,-1.4978354,-14.347111,tegen,-2.6034377,-13.847616
186,voor,-0.100216374,-13.601963,tegen,-1.858873,-15.312675,tegen,-3.7969148,-15.44206
187,voor,-0.028345203,-14.262976,voor,-0.311508,-14.197699,tegen,-1.947039,-15.288622
188,voor,-0.2087289,-13.720526,tegen,-1.9914323,-14.241062,tegen,-2.8368552,-16.05667
189,tegen,-0.99926007,-11.921637,voor,-0.53311896,-12.079811,tegen,-1.3465827,-14.766914
190,voor,-0.012743431,-14.596529,tegen,-0.8632145,-14.209805,tegen,-2.4510052,-15.311606
191,voor,-0.09394448,-12.126644,voor,-0.6263195,-13.236824,tegen,-5.3403897,-15.230915
192,voor,-0.010619283,-14.564183,voor,-0.34908375,-13.948203,tegen,-1.8686063,-15.864046
193,voor,-0.19278446,-13.380321,tegen,-1.6798644,-15.506106,tegen,-4.230679,-15.4052725
194,voor,-0.20484702,-10.437904,voor,-0.4946401,-9.651056,tegen,-2.204192,-11.386558
195,tegen,-9.369198,-13.804058,tegen,-5.0615654,-12.278313,tegen,-3.0456114,-13.626061
196,tegen,-4.145309,-13.438023,tegen,-1.9591689,-15.028711,tegen,-1.1702111,-14.203336
197,tegen,-1.2053814,-13.2351,tegen,-1.136528,-12.549288,tegen,-2.357286,-14.687636
198,tegen,-2.034791,-13.367709,tegen,-3.442787,-13.15543,tegen,-2.4360797,-14.443952
199,tegen,-1.3690152,-13.945349,tegen,-2.0214844,-15.14189,tegen,-2.1958432,-14.577491
200,voor,-0.11574227,-13.488051,voor,-0.59987617,-15.571606,tegen,-3.2181377,-15.518318
201,tegen,-3.3557444,-15.85958,tegen,-1.3304751,-15.54472,tegen,-1.2946059,-14.357354
202,tegen,-1.6239717,-12.840721,tegen,-4.0286326,-13.952354,tegen,-7.6876,-16.017195
203,voor,-0.14748077,-12.238143,tegen,-0.9502873,-12.549494,tegen,-4.1836925,-14.5734005
204,voor,-0.3931186,-12.9905,tegen,-0.9923567,-13.730697,tegen,-2.7132597,-13.969531
205,voor,-0.11071858,-12.3060465,voor,-0.33768517,-11.970201,tegen,-2.748135,-14.788516
206,voor,-0.00530242,-15.668505,voor,-0.0886911,-13.401299,tegen,-5.4022565,-16.269802
207,voor,-0.029144198,-13.058264,tegen,-2.1281133,-13.5775175,tegen,-4.0775,-15.820572
208,tegen,-1.4725776,-13.841186,tegen,-3.22661,-13.526861,tegen,-3.1005414,-15.541493
209,tegen,-1.0369637,-16.168589,tegen,-2.086945,-13.921749,tegen,-4.689388,-15.373052
210,tegen,-3.6748164,-13.92687,tegen,-4.202854,-14.074821,tegen,-5.342757,-16.49679
211,tegen,-0.7180799,-13.341287,voor,-0.6470618,-12.524649,tegen,-2.60344,-12.898732
212,voor,-0.1856135,-12.599409,tegen,-0.99539375,-12.519569,tegen,-2.994078,-12.202431
213,voor,-0.67641854,-13.941458,tegen,-1.1705469,-13.066861,tegen,-1.8738515,-13.213078
214,voor,-0.25547794,-11.877611,voor,-0.41380143,-12.641741,tegen,-3.2700617,-14.233078
215,voor,-0.026079187,-12.91243,voor,-0.07660389,-12.151559,tegen,-0.91406333,-13.82751
216,voor,-0.06909495,-14.706002,voor,-0.30826315,-11.427133,tegen,-1.9268157,-15.113349
217,voor,-0.011603926,-14.741806,tegen,-0.86674297,-13.112356,tegen,-1.6920675,-14.845321
218,voor,-0.006282476,-13.020222,voor,-0.14415394,-12.436472,tegen,-2.824615,-14.666206
219,tegen,-1.7454076,-12.196092,tegen,-5.1371307,-15.42746,tegen,-5.944445,-12.94812
220,voor,-0.086253375,-15.091382,tegen,-4.605913,-15.948463,tegen,-8.9578085,-16.710188
221,tegen,-3.8681746,-15.883943,tegen,-1.5091938,-12.387293,tegen,-2.2882183,-14.782649
222,voor,-0.6292435,-12.315128,tegen,-2.5284708,-14.229115,tegen,-3.4347603,-14.23562
223,voor,-0.44102454,-12.870632,tegen,-0.97318494,-13.074211,tegen,-3.5167239,-13.217062
224,voor,-0.036014937,-12.964567,voor,-0.33197805,-12.045029,tegen,-2.6693556,-14.157761
225,tegen,-2.109728,-14.221985,voor,-0.23992968,-13.205658,tegen,-2.028318,-12.369756
226,voor,-0.3069387,-12.685887,tegen,-1.9989489,-13.400719,tegen,-6.51755,-17.033752
227,voor,-0.13988012,-14.070262,voor,-0.5958429,-12.236766,tegen,-2.228493,-15.116583
228,tegen,-2.5269847,-11.79433,tegen,-4.8153462,-15.591898,tegen,-4.935034,-14.933029
229,tegen,-2.8420477,-13.840375,tegen,-2.29358,-12.853063,tegen,-4.3167253,-14.841622
230,tegen,-1.5674837,-14.136999,tegen,-1.8703452,-13.935483,tegen,-3.349132,-15.192307
231,tegen,-0.7573853,-12.295345,tegen,-0.72736776,-12.272669,tegen,-3.847204,-13.201258
232,tegen,-1.3012285,-13.554717,voor,-0.5257196,-12.8427515,tegen,-1.3654592,-14.81778
233,voor,-0.14735825,-12.274128,tegen,-3.153701,-13.99146,tegen,-6.4018064,-16.139181
234,tegen,-3.4542775,-14.75876,voor,-0.5600734,-10.210251,tegen,-5.570622,-13.951039
235,tegen,-6.3650293,-14.1570215,tegen,-4.996918,-13.873403,tegen,-5.564503,-0.0078491215
236,voor,-0.34202412,-11.399918,tegen,-1.7367207,-12.408068,tegen,-3.326239,-14.001531
237,voor,-0.009579946,-12.870805,tegen,-3.8178065,-14.564865,tegen,-7.279108,-15.097073
238,tegen,-4.405318,-11.918296,voor,-0.40906048,-14.34254,voor,-0.5041097,-14.230699
239,tegen,-5.8016777,-13.7925,tegen,-2.00898,-11.290228,tegen,-3.3387058,-14.294393
240,tegen,-8.228504,-13.826223,tegen,-5.735042,-16.468838,tegen,-4.015741,-15.029411
241,voor,-0.25180233,-11.832439,tegen,-5.7866545,-15.91944,tegen,-4.808621,-15.876579
242,voor,-0.027281227,-13.673571,tegen,-1.0112836,-15.5418625,tegen,-3.8358061,-14.486658
243,tegen,-8.035127,-16.51259,tegen,-2.129756,-13.62744,tegen,-2.494172,-14.127173
244,voor,-0.18237938,-11.7701845,tegen,-0.89517707,-14.861989,tegen,-2.350371,-14.695549
245,tegen,-2.6974967,-13.029392,voor,-0.55631155,-14.574588,tegen,-1.148657,-14.007196
246,tegen,-1.0895956,-12.165428,tegen,-4.697514,-14.782662,tegen,-4.994655,-15.4625845
247,tegen,-2.608865,-13.315389,tegen,-4.407172,-14.35703,tegen,-4.801016,-15.301708
248,tegen,-3.6142378,-14.447595,tegen,-5.482842,-15.794032,tegen,-6.3187876,-14.632724
249,tegen,-6.0906134,-14.912484,tegen,-3.0607226,-13.419941,tegen,-4.7860208,-14.373364
250,tegen,-4.456328,-15.372142,tegen,-0.91386276,-14.954305,tegen,-1.1787288,-14.779004
251,tegen,-0.8246443,-12.372797,tegen,-1.2199275,-11.79939,tegen,-2.581232,-13.832397
252,voor,-0.53186864,-14.04688,tegen,-0.9114362,-14.631605,tegen,-1.102339,-13.401184
253,voor,-0.58470285,-13.033397,voor,-0.7308645,-10.319772,tegen,-4.925006,-13.186118
254,tegen,-0.7977769,-12.993706,voor,-0.6744886,-12.599954,tegen,-1.9207538,-14.632256
255,tegen,-2.6551352,-14.246747,tegen,-1.5877186,-14.595377,tegen,-4.2318125,-15.490041
256,tegen,-1.7205046,-15.710615,tegen,-2.330801,-12.96727,tegen,-1.4768273,-15.0158615
257,tegen,-2.6271358,-16.22337,voor,-0.29446653,-11.937989,tegen,-1.85519,-14.845112
258,tegen,-1.8581697,-15.527214,tegen,-2.4962802,-15.250456,tegen,-2.5689163,-14.025427
259,Voor.,-1.358629,-8.95248,tegen,-0.90943605,-9.9960165,voor,-0.85825425,-1.4386203
260,tegen,-2.5063486,-12.888778,tegen,-1.1770978,-14.669313,tegen,-2.2705524,-14.400964
261,voor,-0.31357548,-13.069117,tegen,-0.9853494,-12.473465,tegen,-5.371399,-14.669569
262,tegen,-0.8121794,-12.586348,tegen,-3.1048522,-13.876281,tegen,-6.3213387,-15.431385
263,tegen,-2.2024422,-13.311718,tegen,-3.8923454,-15.040974,tegen,-5.405324,-15.221328
