,gpt-4o-mini_de PVV_vote,gpt-4o-mini_de PVV_voor_lprob,gpt-4o-mini_de PVV_tegen_lprob,gpt-4o-mini_GroenLinks-PvdA_vote,gpt-4o-mini_GroenLinks-PvdA_voor_lprob,gpt-4o-mini_GroenLinks-PvdA_tegen_lprob,gpt-4o-mini_de VVD_vote,gpt-4o-mini_de VVD_voor_lprob,gpt-4o-mini_de VVD_tegen_lprob,gpt-4o-mini_het NSC_vote,gpt-4o-mini_het NSC_voor_lprob,gpt-4o-mini_het NSC_tegen_lprob,gpt-4o-mini_D66_vote,gpt-4o-mini_D66_voor_lprob,gpt-4o-mini_D66_tegen_lprob,gpt-4o-mini_de BBB_vote,gpt-4o-mini_de BBB_voor_lprob,gpt-4o-mini_de BBB_tegen_lprob,gpt-4o-mini_het CDA_vote,gpt-4o-mini_het CDA_voor_lprob,gpt-4o-mini_het CDA_tegen_lprob,gpt-4o-mini_het SP_vote,gpt-4o-mini_het SP_voor_lprob,gpt-4o-mini_het SP_tegen_lprob,gpt-4o-mini_de ChristenUnie_vote,gpt-4o-mini_de ChristenUnie_voor_lprob,gpt-4o-mini_de ChristenUnie_tegen_lprob,gpt-4o-mini_DENK_vote,gpt-4o-mini_DENK_voor_lprob,gpt-4o-mini_DENK_tegen_lprob,gpt-4o-mini_de PvdD_vote,gpt-4o-mini_de PvdD_voor_lprob,gpt-4o-mini_de PvdD_tegen_lprob,gpt-4o-mini_de SGP_vote,gpt-4o-mini_de SGP_voor_lprob,gpt-4o-mini_de SGP_tegen_lprob,gpt-4o-mini_FVD_vote,gpt-4o-mini_FVD_voor_lprob,gpt-4o-mini_FVD_tegen_lprob,gpt-4o-mini_Volt_vote,gpt-4o-mini_Volt_voor_lprob,gpt-4o-mini_Volt_tegen_lprob,gpt-4o-mini_JA21_vote,gpt-4o-mini_JA21_voor_lprob,gpt-4o-mini_JA21_tegen_lprob
33,voor,-4.5124507,-14.387451,voor,-4.387563,-15.512563,voor,-3.7734182,-16.148418,voor,-5.3796554,-17.254656,voor,-3.0486405,-15.79864,voor,-3.8956037,-16.145603,voor,-4.8826585,-15.257658,voor,-4.511102,-16.261103,voor,-4.1410875,-16.141087,voor,-4.6348033,-17.009804,voor,-4.634805,-15.384805,voor,-3.8957047,-16.270704,voor,-5.2552867,-17.255287,voor,-3.7733042,-16.898304,voor,-5.255289,-17.50529
34,tegen,-9.264329,-8.389329,tegen,-3.5670052,-8.442005,tegen,-10.885387,-8.635387,tegen,-7.0682416,-8.068241,tegen,-6.210712,-8.0857115,tegen,-6.675959,-7.675959,tegen,-9.632612,-8.632612,tegen,-4.6551995,-8.1552,tegen,-7.285691,-7.910691,tegen,-7.0939813,-8.093982,tegen,-4.679718,-8.304718,tegen,-9.513767,-7.8887672,tegen,-10.256796,-8.131796,tegen,-7.4577703,-7.0827703,tegen,-9.510006,-8.385006
35,voor,-2.812283,-15.812283,voor,-2.350283,-14.100283,voor,-3.0487459,-16.173746,voor,-3.5298219,-16.529821,voor,-2.127015,-14.752015,voor,-3.1680768,-14.1680765,voor,-2.8120472,-17.437048,voor,-2.8120475,-15.687048,voor,-3.0486627,-15.048662,voor,-4.1410847,-18.891085,voor,-3.0486736,-17.173674,voor,-2.5790043,-16.704004,voor,-3.5298247,-17.279825,voor,-1.1369841,-13.011984,voor,-2.8120437,-17.437044
36,tegen,-9.756868,-8.631868,voor,-2.1270134,-15.002013,voor,-3.773486,-15.523486,voor,-3.5298145,-17.779814,voor,-2.812032,-14.562032,voor,-3.651573,-15.151573,voor,-2.812051,-17.187052,voor,-3.529822,-17.779821,voor,-3.2881446,-17.038145,voor,-3.0486467,-16.298647,voor,-3.53011,-15.15511,voor,-3.2965705,-12.796571,voor,-4.531661,-11.781661,voor,-2.5789728,-15.453973,voor,-5.006849,-15.506848
37,tegen,-4.529258,-9.029258,voor,-2.5822322,-13.207232,voor,-3.315391,-9.315392,voor,-4.836364,-9.836364,voor,-3.315303,-11.440303,voor,-3.2434664,-9.493466,voor,-3.6714418,-9.546442,voor,-2.9487936,-11.823793,voor,-2.5869913,-12.461991,voor,-4.778181,-10.278181,voor,-3.5383253,-10.163325,voor,-3.8540537,-8.8540535,tegen,-5.7154846,-8.465485,voor,-3.317597,-8.442597,tegen,-4.6535263,-9.028526
38,voor,-3.8956165,-17.270617,voor,-2.3502822,-17.225283,voor,-2.3503003,-13.600301,voor,-3.2881148,-17.163115,voor,-0.97422177,-16.224222,voor,-2.1270325,-15.877032,voor,-1.7015158,-15.701516,voor,-2.1270244,-16.877024,voor,-1.9103382,-16.410337,voor,-3.0486565,-17.298656,voor,-2.3503067,-16.975307,voor,-1.5020528,-14.877052,voor,-3.5297992,-18.279799,voor,-1.9103227,-16.160322,voor,-2.1270142,-15.002014
39,tegen,-7.6494126,-9.024412,tegen,-5.0819674,-8.081967,tegen,-6.679121,-8.804121,tegen,-7.690981,-8.315981,voor,-4.5438757,-9.168876,tegen,-6.3341465,-8.3341465,tegen,-7.038418,-8.788418,tegen,-5.980245,-8.230246,tegen,-5.345037,-8.4700365,tegen,-7.163558,-8.288558,tegen,-7.419649,-8.044649,tegen,-6.6658506,-8.540851,tegen,-7.9017086,-8.526709,tegen,-6.8507895,-8.22579,tegen,-7.7838397,-8.53384
40,voor,-4.0183935,-15.6433935,voor,-1.910305,-15.910305,voor,-1.9103451,-12.535345,voor,-2.8120518,-15.937052,voor,-1.3133872,-15.438387,voor,-2.812044,-15.562044,voor,-1.7015086,-14.3265085,voor,-2.5789695,-16.45397,voor,-2.578972,-15.453972,voor,-3.0486634,-17.798664,voor,-3.4087114,-15.533711,voor,-2.579001,-13.579001,voor,-3.6513927,-16.526392,voor,-2.127029,-15.002029,voor,-3.2881165,-17.163116
41,voor,-3.9163141,-12.791314,voor,-3.40871,-17.15871,voor,-3.4094357,-14.909435,voor,-4.758655,-15.508656,voor,-3.048643,-14.173643,voor,-4.01825,-16.76825,voor,-3.408798,-16.658798,voor,-3.7733514,-16.648352,voor,-4.3879943,-15.262995,voor,-4.5110908,-17.011091,voor,-4.141475,-14.766475,voor,-3.7739468,-14.898947,voor,-4.0199428,-14.644942,voor,-2.9299545,-15.554955,voor,-4.634863,-16.384863
42,tegen,-8.639277,-9.139277,tegen,-13.648511,-9.023511,tegen,-9.034635,-9.159635,tegen,-12.754952,-8.754952,tegen,-15.8933735,-9.1433735,tegen,-9.277657,-8.527657,tegen,-12.758855,-9.258855,tegen,-11.639671,-8.514671,tegen,-12.391306,-9.016306,tegen,-12.398552,-8.898552,tegen,-13.423807,-9.298807,tegen,-9.639981,-8.639981,tegen,-9.016783,-8.641783,tegen,-14.793692,-8.043692,tegen,-10.3849535,-8.8849535
43,tegen,-11.879138,-9.754138,voor,-1.5020783,-16.377079,tegen,-10.141834,-9.516834,voor,-3.7745593,-13.899559,voor,-1.7015928,-15.701592,tegen,-6.447104,-8.822104,voor,-4.281239,-9.9062395,voor,-2.1270385,-17.502039,voor,-3.2992945,-12.549294,voor,-2.127073,-16.752073,voor,-2.350317,-16.850317,tegen,-10.380609,-9.130609,tegen,-9.260808,-9.260808,voor,-2.3508651,-14.600865,tegen,-9.013631,-9.138631
44,tegen,-4.8562264,-9.106227,tegen,-6.1827445,-8.807745,tegen,-6.659525,-8.784525,voor,-4.773135,-9.148135,tegen,-10.8855915,-8.6355915,tegen,-5.122726,-8.7477255,tegen,-7.0352716,-9.035272,tegen,-3.674699,-8.924699,tegen,-6.5451403,-8.67014,tegen,-6.2389283,-8.613928,tegen,-4.0648932,-8.939894,tegen,-6.166034,-8.416034,tegen,-7.780533,-8.905533,tegen,-9.438999,-8.188999,tegen,-7.1701355,-8.9201355
45,tegen,-5.8154893,-8.940489,voor,-2.69553,-15.32053,voor,-3.4673173,-10.342318,voor,-4.018291,-15.768291,voor,-2.23806,-16.11306,voor,-3.4234395,-12.17344,voor,-3.7769492,-13.901949,voor,-3.1686594,-15.043659,voor,-3.299297,-12.674297,voor,-3.2889066,-14.538907,voor,-2.6955006,-15.3205,voor,-3.5551002,-9.3051,tegen,-7.177508,-8.677508,voor,-3.168448,-15.1684475,voor,-4.5495634,-11.424563
46,tegen,-6.4377413,-8.687741,voor,-3.9032285,-12.653229,tegen,-4.4039674,-9.028967,voor,-4.53754,-11.41254,voor,-4.1573253,-11.907326,voor,-5.0797772,-8.454777,voor,-4.8582416,-9.733241,voor,-4.0415754,-11.541575,voor,-4.421207,-9.796206,voor,-4.410938,-11.660938,voor,-4.8972135,-8.647214,tegen,-5.388032,-8.388032,tegen,-5.796347,-8.421347,voor,-4.2811017,-11.531101,voor,-5.1640525,-9.539052
47,voor,-4.1792083,-11.929209,voor,-1.7015065,-12.201507,voor,-2.8229837,-12.822984,voor,-4.6348658,-16.509867,voor,-2.3503058,-16.350306,voor,-3.896252,-14.771252,voor,-2.5790796,-16.579079,voor,-2.8120937,-16.437094,voor,-2.930185,-15.680185,voor,-2.5789628,-14.203962,voor,-4.2753434,-12.525343,voor,-3.5408301,-12.79083,voor,-4.1487985,-13.023798,voor,-2.3502965,-15.850297,voor,-4.018774,-14.643774
48,tegen,-9.894345,-8.769345,tegen,-12.954157,-9.579157,tegen,-12.305153,-9.555153,tegen,-13.523541,-8.898541,tegen,-15.173839,-9.548839,tegen,-10.521301,-8.771301,tegen,-13.055139,-9.680139,tegen,-12.038463,-8.788463,tegen,-13.305203,-9.055203,tegen,-14.391313,-9.266313,tegen,-14.168254,-9.293254,tegen,-10.674055,-8.799055,tegen,-9.145743,-8.770743,tegen,-14.563881,-9.188881,tegen,-11.530104,-9.280104
49,voor,-3.6720264,-12.547027,voor,-2.1270063,-13.002007,voor,-2.4655683,-14.465569,voor,-3.4087121,-17.408712,voor,-2.3502662,-13.725266,voor,-2.578988,-17.078989,voor,-2.8121428,-16.437143,voor,-1.7015374,-11.951537,voor,-2.1270375,-11.752037,voor,-3.0486531,-14.048653,voor,-3.1680796,-13.293079,voor,-2.5797029,-14.579702,voor,-3.409554,-14.4095545,voor,-2.3502862,-16.350286,voor,-3.5298307,-16.77983
