,id,title,link,date,indieners (leden),indieners (partijen),PVV,GroenLinks-PvdA,VVD,NSC,D66,BBB,CDA,SP,ChristenUnie,DENK,PvdD,SGP,FVD,Volt,JA21,moties_volledig
24.0,2024D03629,Motie van het lid Graus over geldstromen vanuit het Rijk naar Staatsbosbeheer korten zolang dieren in de Oostvaardersplassen een hongerdood sterven,/kamerstukken/moties/detail?id=2024Z01630&did=2024D03629,1 februari 2024,['Dion Graus'],['PVV'],1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,"verzoekt de regering Staatsbosbeheer te korten op geldstromen vanuit het Rijk, mocht men geen einde maken aan de decennialange hongerdood van de opgesloten dieren in de Oostvaardersplassen,"
25.0,2024D03628,Motie van het lid Graus over dierenwelzijn laten prevaleren boven milieueisen en de voor dieren verstikkende luchtwassers,/kamerstukken/moties/detail?id=2024Z01629&did=2024D03628,1 februari 2024,['Dion Graus'],['PVV'],1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,"verzoekt de regering om dierenwelzijn te laten prevaleren boven milieueisen en de voor dieren verstikkende luchtwassers,"
26.0,2024D03625,Motie van het lid Graus over one strike out bij dierenmishandeling,/kamerstukken/moties/detail?id=2024Z01626&did=2024D03625,1 februari 2024,['Dion Graus'],['PVV'],1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,"verzoekt de regering na zware dierenmishandeling de 'one strike out'-optie toe te (laten) passen,"
27.0,2024D03627,"Motie van het lid Graus over een pilot met de ""Stable Safe""-systemen",/kamerstukken/moties/detail?id=2024Z01628&did=2024D03627,1 februari 2024,['Dion Graus'],['PVV'],1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,"verzoekt de regering, mede in het kader van het stalbrandpreventieplan, om een pilot met de 'Stable Safe'-systemen en valwanden waardoor  dieren kunnen vluchten in plaats van stikken"
28.0,2024D03501,Motie van het lid Boswijk c.s. over met de politie bezien op welke manier herkenning van psychische problemen onderdeel kan zijn van het curriculum van de Politieacademie,/kamerstukken/moties/detail?id=2024Z01565&did=2024D03501,1 februari 2024,"['Derk Boswijk', 'Diederik van Dijk', 'Joost Sneller', 'Lilian Helder', 'Songül Mutluer']","['CDA', 'SGP', 'D66', 'BBB', 'GroenLinks-PvdA']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"verzoekt de regering om in samenspraak met de politie te bezien op welke manier herkenning van psychische problemen onderdeel kan zijn van het curriculum bij de scholing van politieagenten op de Politieacademie; verzoekt de regering de Kamer hierover te informeren voor het zomer-reces van 2024,"
29.0,2024D03624,Motie van het lid Nijhof-Leeuw over het schrappen van de uitbreiding van de bufferzones rondom Natura 2000-gebieden en beekdalen,/kamerstukken/moties/detail?id=2024Z01625&did=2024D03624,1 februari 2024,['Jeanet Nijhof-Leeuw'],['PVV'],1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,"verzoekt de regering de voorgenomen uitbreiding van de bufferzones rondom Natura 2000-gebieden en beekdalen te schrappen,"
30.0,2024D03504,"Motie van het lid Helder c.s. over het wetsvoorstel inzake het taakstrafverbod bij geweld tegen politieagenten, brandweerlieden en ambulancepersoneel in procedure brengen",/kamerstukken/moties/detail?id=2024Z01567&did=2024D03504,1 februari 2024,"['Lilian Helder', 'Derk Boswijk', 'Diederik van Dijk', 'Caroline van der Plas', 'Ingrid Michon-Derkzen', 'Joost Eerdmans']","['BBB', 'CDA', 'SGP', 'BBB', 'VVD', 'JA21']",1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,"verzoekt de regering op de kortst mogelijke termijn het wetsvoorstel in de daarvoor bestemde procedure te brengen en vervolgens bij de Tweede Kamer in te dienen,"
31.0,2024D03502,Motie van het lid Mutluer over een onafhankelijke gezaghebbende persoon of instantie inschakelen die als mediator samen met de korpsleiding gaat zorgen voor rehabilitatie van de agenten uit de documentaire De blauwe familie,/kamerstukken/moties/detail?id=2024Z01566&did=2024D03502,1 februari 2024,['Songül Mutluer'],['GroenLinks-PvdA'],-1,1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering om een onafhankelijke gezaghebbende persoon of instantie in te schakelen die als mediator samen met de korpsleiding gaat zorgen dat het wel tot rehabilitatie van de agenten uit de documentaire De blauwe familie gaat komen,"
32.0,2024D03509,"Motie van het lid Diederik van Dijk over het scanderen van de leus ""From the river to the sea ..."" bij demonstraties in antisemitische context plaatsen en dit in het handelingsperspectief opnemen",/kamerstukken/moties/detail?id=2024Z01571&did=2024D03509,1 februari 2024,['Diederik van Dijk'],['SGP'],1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,"verzoekt de regering om in navolging van Duitsland en Oostenrijk het scanderen van de leus «From the river to the sea {» bij demonstraties in antisemitische context te plaatsen en dit in het handelingsperspectief op te nemen,"
33.0,2024D03623,Motie van de leden Nijhof-Leeuw en Grinwis over een compleet overzicht van de algemene kosten van producten van eigen bodem,/kamerstukken/moties/detail?id=2024Z01624&did=2024D03623,1 februari 2024,"['Jeanet Nijhof-Leeuw', 'Pieter Grinwis']","['PVV', 'ChristenUnie']",1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,"verzoekt de regering de Kamer een compleet overzicht te verstrekken met betrekking tot de algemene kosten van producten van eigen bodem,"
34.0,2024D03507,Motie van het lid El Abassi over het Israëlische tapsysteem niet aanschaffen en de overeenkomst opzeggen,/kamerstukken/moties/detail?id=2024Z01569&did=2024D03507,1 februari 2024,['Ismail el Abassi'],['DENK'],-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,"verzoekt de regering om het Israëlische tapsysteem niet aan te schaffen en deze overeenkomst op te zeggen,"
35.0,2024D03506,Motie van het lid El Abassi over onderzoeken wat de gevaren zijn van het uitbesteden van ons tapsysteem en of Nederland een eigen tapsysteem kan ontwikkelen,/kamerstukken/moties/detail?id=2024Z01568&did=2024D03506,1 februari 2024,['Ismail el Abassi'],['DENK'],-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,"verzoekt de regering om te onderzoeken wat de gevaren zijn van het uitbesteden van ons tapsysteem en te onderzoeken of Nederland een eigen tapsysteem kan ontwikkelen, en de Kamer hierover in het volgende halfjaarbericht te informeren,"
36.0,2024D03474,Motie van het lid Van Baarle c.s. over proactief internationaal draagvlak zoeken voor een internationaal herstelprogramma voor herstel en wederopbouw van Gaza,/kamerstukken/moties/detail?id=2024Z01554&did=2024D03474,31 januari 2024,"['Stephan van Baarle', 'Sarah Dobbe', 'Christine Teunissen']","['DENK', 'SP', 'PvdD']",-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering , in afstemming met de VN-coördinator, in inter-nationaal verband proactief draagvlak te zoeken voor de totstandkoming van een internationaal herstelprogramma gericht op het herstel en de wederopbouw van Gaza; verzoekt de regering tevens een actieve voortrekkersrol te nemen in de realisatie en de uitvoering van dit programma,"
37.0,2024D03468,Motie van het lid Dobbe c.s. over de extra financiering voor eerstejaarsasielopvang dit jaar niet uit het ODA-budget betalen,/kamerstukken/moties/detail?id=2024Z01548&did=2024D03468,31 januari 2024,"['Sarah Dobbe', 'Daniëlle Hirsch', 'Stephan van Baarle', 'Christine Teunissen']","['SP', 'GroenLinks-PvdA', 'DENK', 'PvdD']",-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,"verzoekt de regering de extra financiering voor eerstejaarsasielopvang dit jaar niet uit het ODA-budget te betalen,"
38.0,2024D03463,Motie van het lid Boswijk over bij het sluiten van handelsverdragen kijken naar de kwetsbare positie van boeren in fragiele regio's,/kamerstukken/moties/detail?id=2024Z01543&did=2024D03463,31 januari 2024,['Derk Boswijk'],['CDA'],-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,"verzoekt de regering bij het sluiten van handelsverdragen expliciet te kijken naar de kwetsbare positie van boeren in fragiele regio’s,"
39.0,2024D03470,Motie van het lid Dobbe over de kosten van eerstejaarsasielopvang betalen uit de Defensiebegroting en het Defensiematerieelbegrotingsfonds,/kamerstukken/moties/detail?id=2024Z01550&did=2024D03470,31 januari 2024,['Sarah Dobbe'],['SP'],-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,"verzoekt de regering om vanaf de Voorjaarsnota 2025 de kosten van eerstejaarsasielopvang niet langer uit het ODA-budget te betalen; verzoekt de regering de dekking hiervoor te zoeken in de Defensiebe-groting en het Defensiematerieelbegrotingsfonds,"
40.0,2024D03464,Motie van de leden Boswijk en Ceder over het benutten van de mogelijkheden van voedsel- en hulppakketten voor de Afghaanse bevolking,/kamerstukken/moties/detail?id=2024Z01544&did=2024D03464,31 januari 2024,"['Derk Boswijk', 'Don Ceder']","['CDA', 'ChristenUnie']",-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,"verzoekt de regering de mogelijkheden voor voedsel- en hulppakketten aan de Afghaanse bevolking te benutten en hierover de Kamer te informeren,"
41.0,2024D03461,Motie van het lid Zeedijk c.s. over een kwantitatieve vergelijking van de publieke innovatiesubsidies per sector in de VS en Azië,/kamerstukken/moties/detail?id=2024Z01541&did=2024D03461,31 januari 2024,"['Femke Zeedijk', 'Don Ceder', 'Derk Boswijk', 'Chris Stoffer']","['NSC', 'ChristenUnie', 'CDA', 'SGP']",1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,"verzoekt de regering een kwantitatieve vergelijking te maken van de publieke innovatiesubsidies per sector in de VS en Azië; verzoekt de regering tevens te onderzoeken op welke wijze de Neder-landse en Europese staatssteunwetgeving aangepast zou kunnen worden om beter te kunnen concurreren met bijvoorbeeld de VS en Azië,"
42.0,2024D03467,Motie van de leden Dobbe en Teunissen over niet toetreden tot het verdrag inzake exportcontrole in het defensiedomein,/kamerstukken/moties/detail?id=2024Z01547&did=2024D03467,31 januari 2024,"['Sarah Dobbe', 'Christine Teunissen']","['SP', 'PvdD']",-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,"verzoekt de regering Nederland niet te laten toetredent tot het verdrag inzake exportcontrole in het defensiedomein en alle gesprekken hieromtrent te staken,"
43.0,2024D03471,Motie van de leden Van Baarle en Teunissen over het advies aan Nederlandse bedrijven en financiële instellingen met activiteiten in illegale nederzettingen aanscherpen,/kamerstukken/moties/detail?id=2024Z01551&did=2024D03471,31 januari 2024,"['Stephan van Baarle', 'Christine Teunissen']","['DENK', 'PvdD']",-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering om het bestaande advies aan bedrijven en financiële instellingen met activiteiten in illegale nederzettingen aan te scherpen en dit op een meer proactieve manier onder Nederlandse bedrijven en financiële instellingen te verspreiden,"
44.0,2024D03477,Motie van het lid Van Houwelingen over uitspreken dat het wenselijk is dat het koningshuis alle banden met het World Economic Forum verbreekt,/kamerstukken/moties/detail?id=2024Z01557&did=2024D03477,31 januari 2024,['Pepijn van Houwelingen'],['FVD'],1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,"spreekt uit dat het wenselijk is dat het koningshuis alle banden met het World Economic Forum verbreekt,"
45.0,2024D03472,Motie van het lid Van Baarle over bezien hoe het ontmoedigingsbeleid kan worden gekoppeld aan een concreet handhavingsinstrument,/kamerstukken/moties/detail?id=2024Z01552&did=2024D03472,31 januari 2024,['Stephan van Baarle'],['DENK'],-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering te bezien hoe het ontmoedigingsbeleid kan worden gekoppeld aan een concreet handhavingsinstrument, zoals bijvoorbeeld het ontzeggen van toegang tot een exportkredietverzekering voor activiteiten in illegale nederzettingen,"
46.0,2024D03459,Motie van de leden Bamenga en Hirsch over het ongedaan maken van het besluit over de toekomstige financiering van UNRWA,/kamerstukken/moties/detail?id=2024Z01539&did=2024D03459,31 januari 2024,"['Mpanzu Bamenga', 'Daniëlle Hirsch']","['D66', 'GroenLinks-PvdA']",-1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,"verzoekt de regering het VN-onderzoek naar de UNRWA -medewerkers nauwlettend te volgen en de Kamer hierover te informeren; verzoekt de regering om het besluit omtrent de toekomstige financiering van UNRWA ongedaan te maken en zolang het onderzoek loopt verzoeken van UNRWA per geval te beoordelen en niet bij voorbaat af te wijzen en daarbij het gebrek aan alternatieven mee te wegen,"
47.0,2024D03465,"Motie van het lid Ceder c.s. over meer oog voor lokale cultuur, tradities en overtuigingen bij het vaststellen van een handelsverdrag of ontwikkelingssamenwerking",/kamerstukken/moties/detail?id=2024Z01545&did=2024D03465,31 januari 2024,"['Don Ceder', 'Derk Boswijk', 'Chris Stoffer', 'Gijs Tuinman']","['ChristenUnie', 'CDA', 'SGP', 'BBB']",-1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,"verzoekt de regering bij het vaststellen van een handelsverdrag of ontwikkelingssamenwerking meer oog te hebben voor de lokale cultuur, tradities en overtuigingen en daarbij geen ideologieën als voorwaarde te stellen voor het verkrijgen van steun of handelsovereenkomsten,"
48.0,2024D03453,Motie van het lid Ram over de soevereiniteit en energiemix van landen respecteren en stoppen met klimaatbeleid in combinatie- en ontwikkelingslanden,/kamerstukken/moties/detail?id=2024Z01533&did=2024D03453,31 januari 2024,['Dennis Ram'],['PVV'],1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,"verzoekt de regering de soevereiniteit en energiemix van landen te respecteren en te stoppen met klimaatbeleid in combinatie- en ontwikkelingslanden,"
