,id,category
116,2024D02524,"[""Milieu en Natuur""]"
117,2024D02528,"[""Economie & Financiën""]"
118,2024D02499,"[""Milieu en Natuur""]"
119,2024D02502,"[""Verkeer en Vervoer""]"
120,2024D02500,"[""Milieu en Natuur""]"
121,2024D02509,"[""Verkeer en Vervoer"", ""Technologie""]"
122,2024D02496,"[""Verkeer en Vervoer""]"
123,2024D02498,"[""Milieu en Natuur"", ""Economie & Financiën""]"
124,2024D02494,"[""Milieu en Natuur"", ""Verkeer en Vervoer""]"
125,2024D02492,"[""Verkeer en Vervoer""]"
126,2024D02489,"[""Veiligheid en Justitie"", ""Verkeer en Vervoer""]"
127,2024D02495,"[""Verkeer en Vervoer""]"
128,2024D02487,"[""Milieu en Natuur"", ""Verkeer en Vervoer""]"
129,2024D02490,"[""Economie & Financiën""]"
130,2024D02484,"[""Verkeer en Vervoer""]"
131,2024D02677,"[""Zorg en Gezondheid""]"
132,2024D02689,"[""Economie & Financiën""]"
133,2024D02678,"[""Zorg en Gezondheid""]"
134,2024D02684,"[""Zorg en Gezondheid""]"
135,2024D02694,"[""Zorg en Gezondheid""]"
136,2024D02679,"[""Onderwijs, Cultuur en Wetenschap""]"
137,2024D02690,"[""Zorg en Gezondheid""]"
138,2024D02685,"[""Zorg en Gezondheid""]"
139,2024D02676,"[""Zorg en Gezondheid""]"
140,2024D02691,"[""Zorg en Gezondheid""]"
141,2024D02681,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
142,2024D02686,"[""Zorg en Gezondheid""]"
143,2024D02688,"[""Economie & Financiën""]"
144,2024D02687,"[""Economie & Financiën""]"
145,2024D02692,"[""Zorg en Gezondheid""]"
146,2024D02683,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
147,2024D02682,"[""Zorg en Gezondheid""]"
148,2024D02671,"[""Zorg en Gezondheid""]"
149,2024D02662,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
150,2024D02661,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
151,2024D02667,"[""Zorg en Gezondheid""]"
152,2024D02660,"[""Zorg en Gezondheid""]"
153,2024D02674,"[""Zorg en Gezondheid""]"
154,2024D02670,"[""Zorg en Gezondheid""]"
155,2024D02672,"[""Economie & Financiën""]"
156,2024D02668,"[""Buitenlands Beleid""]"
157,2024D02665,"[""Zorg en Zorg en Gezondheid""]"
158,2024D02673,"[""Zorg en Gezondheid"", ""Onderwijs, Cultuur en Wetenschap""]"
159,2024D02669,"[""Zorg en Gezondheid""]"
160,2024D02663,"[""Zorg en Gezondheid""]"
161,2024D02657,"[""Zorg en Gezondheid""]"
162,2024D02658,"[""Zorg en Gezondheid""]"
163,2024D02675,"[""Zorg en Gezondheid""]"
164,2024D02656,"[""Zorg en Gezondheid""]"
165,2024D02650,"[""Zorg en Gezondheid""]"
166,2024D02648,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
167,2024D02647,"[""Technologie"", ""Zorg en Gezondheid""]"
168,2024D02654,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
169,2024D02652,"[""Zorg en Gezondheid""]"
170,2024D02653,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
171,2024D02655,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
172,2024D02389,"[""Veiligheid en Justitie""]"
173,2024D02392,"[""Veiligheid en Justitie""]"
174,2024D02390,"[""Veiligheid en Justitie""]"
175,2024D02214,"[""Overheid en Bestuur""]"
176,2024D02396,"[""Veiligheid en Justitie""]"
177,2024D02391,"[""Veiligheid en Justitie""]"
178,2024D02209,"[""Verkeer en Vervoer""]"
179,2024D02096,"[""Milieu en Natuur""]"
180,2024D02098,"[""Economie & Financiën""]"
181,2024D01578,"[""Zorg en Gezondheid""]"
182,2024D01579,"[""Onderwijs, Cultuur en Wetenschap""]"
183,2024D01966,"[""Onderwijs, Cultuur en Wetenschap""]"
184,2024D01250,"[""Economie & Financiën""]"
185,2024D01889,"[""Economie & Financiën""]"
186,2024D01893,"[""Milieu en Natuur"", ""Verkeer en Vervoer""]"
187,2024D01900,"[""Verkeer en Vervoer""]"
188,2024D01890,"[""Verkeer en Vervoer""]"
189,2024D01892,"[""Verkeer en Vervoer"", ""Economie & Financiën""]"
190,2024D01894,"[""Verkeer en Vervoer""]"
191,2024D01898,"[""Verkeer en Vervoer"", ""Economie & Financiën""]"
192,2024D01891,"[""Verkeer en Vervoer""]"
193,2024D01899,"[""Economie & Financiën""]"
194,2024D01901,"[""Verkeer en Vervoer""]"
195,2024D01375,"[""Economie & Financiën""]"
196,2024D01509,"[""Economie & Financiën""]"
197,2024D01506,"[""Economie & Financiën""]"
198,2024D01504,"[""Economie & Financiën"", ""Onderwijs, Cultuur en Wetenschap""]"
199,2024D01503,"[""Economie & Financiën""]"
200,2024D01505,"[""Onderwijs, Cultuur en Wetenschap""]"
201,2024D01397,"[""Veiligheid en Justitie"", ""Onderwijs, Cultuur en Wetenschap""]"
202,2024D01396,"[""Zorg en Gezondheid""]"
203,2024D01390,"[""Onderwijs, Cultuur en Wetenschap""]"
204,2024D01377,"[""Onderwijs, Cultuur en Wetenschap"", ""Economie & Financiën""]"
205,2024D01388,"[""Onderwijs, Cultuur en Wetenschap""]"
206,2024D01394,"[""Onderwijs, Cultuur en Wetenschap"", ""Milieu en Natuur""]"
207,2024D01379,"[""Onderwijs, Cultuur en Wetenschap""]"
208,2024D01376,"[""Onderwijs, Cultuur en Wetenschap""]"
209,2024D01399,"[""Economie & Financiën""]"
210,2024D01391,"[""Milieu en Natuur"", ""Onderwijs, Cultuur en Wetenschap""]"
211,2024D01378,"[""Onderwijs, Cultuur en Wetenschap""]"
212,2024D01369,"[""Onderwijs, Cultuur en Wetenschap""]"
213,2024D01374,"[""Onderwijs, Cultuur en Wetenschap""]"
214,2024D01373,"[""Onderwijs, Cultuur en Wetenschap""]"
215,2024D01372,"[""Onderwijs, Cultuur en Wetenschap""]"
216,2024D01367,"[""Onderwijs, Cultuur en Wetenschap""]"
217,2024D01371,"[""Onderwijs, Cultuur en Wetenschap""]"
218,2024D01364,"[""Onderwijs, Cultuur en Wetenschap""]"
219,2024D01317,"[""Economie & Financiën""]"
220,2024D01323,"[""Onderwijs, Cultuur en Wetenschap""]"
221,2024D01329,"[""Onderwijs, Cultuur en Wetenschap""]"
222,2024D01315,"[""Economie & Financiën""]"
223,2024D01361,"[""Onderwijs, Cultuur en Wetenschap""]"
224,2024D01363,"[""Onderwijs, Cultuur en Wetenschap""]"
225,2024D01327,"[""Onderwijs, Cultuur en Wetenschap""]"
226,2024D01322,"[""Onderwijs, Cultuur en Wetenschap""]"
227,2024D01320,"[""Onderwijs, Cultuur en Wetenschap""]"
228,2024D01326,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
229,2024D01308,"[""Onderwijs, Cultuur en Wetenschap""]"
230,2024D01311,"[""Economie & Financiën""]"
231,2024D01314,"[""Onderwijs, Cultuur en Wetenschap""]"
232,2024D01293,"[""Economie & Financiën""]"
233,2024D01292,"[""Onderwijs, Cultuur en Wetenschap""]"
234,2024D01291,"[""Onderwijs, Cultuur en Wetenschap""]"
235,2024D01500,"[""Buitenlands Beleid""]"
236,2024D01499,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
237,2024D01487,"[""Buitenlands Beleid""]"
238,2024D01486,"[""Buitenlands Beleid""]"
239,2024D01485,"[""Buitenlands Beleid""]"
240,2024D01489,"[""Veiligheid en Justitie""]"
241,2024D01491,"[""Buitenlands Beleid""]"
242,2024D01494,"[""Economie & Financiën"", ""Buitenlands Beleid""]"
243,2024D01495,"[""Buitenlands Beleid""]"
244,2024D01493,"[""Buitenlands Beleid""]"
245,2024D01496,"[""Buitenlands Beleid""]"
246,2024D01066,"[""Immigratie, Asiel en Integratie"", ""Veiligheid en Justitie""]"
247,2024D01062,"[""Immigratie, Asiel en Integratie""]"
248,2024D01067,"[""Immigratie, Asiel en Integratie""]"
249,2024D01063,"[""Immigratie, Asiel en Integratie"", ""Veiligheid en Justitie""]"
250,2024D01061,"[""Veiligheid en Justitie"", ""Immigratie, Asiel en Integratie""]"
251,2024D01189,"[""Veiligheid en Justitie"", ""Economie & Financiën""]"
252,2024D00840,"[""Milieu en Natuur""]"
253,2024D00890,"[""Milieu en Natuur"", ""Economie & Financiën"", ""Technologie""]"
254,2024D00820,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
255,2023D51041,"[""Milieu en Natuur""]"
256,2023D51044,"[""Milieu en Natuur""]"
257,2023D51053,"[""Milieu en Natuur""]"
258,2023D51058,"[""Milieu en Natuur""]"
259,2023D51059,"[""Milieu en Natuur"", ""Economie & Financiën""]"
260,2023D51054,"[""Milieu en Natuur""]"
261,2023D51060,"[""Immigratie, Asiel en Integratie"", ""Milieu en Natuur""]"
262,2023D51172,"[""Veiligheid en Justitie""]"
263,2023D51166,"[""Veiligheid en Justitie"", ""Buitenlands Beleid""]"
264,2023D51170,"[""Veiligheid en Justitie""]"
265,2023D51167,"[""Veiligheid en Justitie""]"
266,2023D51168,"[""Buitenlands Beleid"", ""Veiligheid en Justitie""]"
267,2023D51165,"[""Veiligheid en Justitie"", ""Technologie""]"
268,2023D51171,"[""Immigratie, Asiel en Integratie""]"
269,2023D51182,"[""Veiligheid en Justitie""]"
270,2023D51205,"[""Veiligheid en Justitie""]"
271,2023D51199,"[""Veiligheid en Justitie""]"
272,2023D51180,"[""Veiligheid en Justitie""]"
273,2023D51176,"[""Economie & Financiën""]"
274,2023D51164,"[""Veiligheid en Justitie""]"
275,2023D51198,"[""Immigratie, Asiel en Integratie""]"
276,2023D51194,"[""Immigratie, Asiel en Integratie""]"
277,2023D51191,"[""Buitenlands Beleid"", ""Veiligheid en Justitie""]"
278,2023D51193,"[""Buitenlands Beleid""]"
279,2023D51190,"[""Immigratie, Asiel en Integratie""]"
280,2023D51196,"[""Immigratie, Asiel en Integratie"", ""Veiligheid en Justitie""]"
281,2023D50610,"[""Zorg en Gezondheid"", ""Veiligheid en Justitie""]"
282,2023D50622,"[""Veiligheid en Justitie""]"
283,2023D50617,"[""Veiligheid en Justitie""]"
284,2023D50623,"[""Zorg en Zorg en Gezondheid""]"
285,2023D50763,"[""Wonen en Volkshuisvesting""]"
286,2023D50755,"[""Milieu en Natuur""]"
287,2023D50761,"[""Milieu en Natuur"", ""Economie & Financiën""]"
288,2023D50757,"[""Milieu en Natuur""]"
289,2023D50756,"[""Milieu en Natuur""]"
290,2023D50764,"[""Milieu en Natuur""]"
291,2023D50750,"[""Milieu en Natuur"", ""Buitenlands Beleid""]"
292,2023D50748,"[""Milieu en Natuur"", ""Economie & Financiën""]"
293,2023D50753,"[""Milieu en Natuur""]"
294,2023D50406,"[""Economie & Financiën""]"
295,2023D50413,"[""Economie & Financiën"", ""Milieu en Natuur""]"
296,2023D50415,"[""Economie & Financiën""]"
297,2023D50412,"[""Economie & Financiën""]"
298,2023D50417,"[""Economie & Financiën""]"
299,2023D50414,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
300,2023D50405,"[""Economie & Financiën""]"
301,2023D50407,"[""Zorg en Gezondheid""]"
302,2023D50410,"[""Economie & Financiën""]"
303,2023D50408,"[""Economie & Financiën"", ""Milieu en Natuur""]"
304,2023D50409,"[""Economie & Financiën""]"
305,2023D49235,"[""Milieu en Natuur""]"
306,2023D49232,"[""Buitenlands Beleid""]"
307,2023D49233,"[""Milieu en Natuur""]"
308,2023D49231,"[""Buitenlands Beleid""]"
309,2023D49405,"[""Immigratie, Asiel en Integratie"", ""Veiligheid en Justitie""]"
310,2023D49406,"[""Onderwijs, Cultuur en Wetenschap""]"
311,2023D49399,"[""Immigratie, Asiel en Integratie""]"
312,2023D49197,"[""Immigratie, Asiel en Integratie"", ""Veiligheid en Justitie""]"
313,2023D49069,"[""Economie & Financiën"", ""Buitenlands Beleid""]"
314,2023D49158,"[""Veiligheid en Justitie""]"
315,2023D49159,"[""Zorg en Zorg en Gezondheid""]"
316,2023D49200,"[""Immigratie, Asiel en Integratie""]"
317,2023D49177,"[""Veiligheid en Justitie""]"
318,2023D49198,"[""Immigratie, Asiel en Integratie""]"
319,2023D48994,"[""Economie & Financiën"", ""Buitenlands Beleid""]"
320,2023D49001,"[""Buitenlands Beleid""]"
321,2023D48998,"[""Buitenlands Beleid""]"
322,2023D49005,"[""Buitenlands Beleid""]"
323,2023D49011,"[""Buitenlands Beleid""]"
324,2023D48997,"[""Buitenlands Beleid""]"
325,2023D49004,"[""Buitenlands Beleid""]"
326,2023D49010,"[""Buitenlands Beleid""]"
327,2023D49003,"[""Buitenlands Beleid""]"
328,2023D49009,"[""Buitenlands Beleid""]"
329,2023D49013,"[""Buitenlands Beleid""]"
330,2023D49000,"[""Buitenlands Beleid""]"
331,2023D49002,"[""Buitenlands Beleid""]"
332,2023D49014,"[""Buitenlands Beleid"", ""Immigratie, Asiel en Integratie"", ""Milieu en Natuur""]"
333,2023D49015,"[""Buitenlands Beleid""]"
334,2023D49016,"[""Buitenlands Beleid""]"
335,2023D48279,"[""Veiligheid en Justitie""]"
336,2023D48277,"[""Milieu en Natuur"", ""Economie & Financiën""]"
337,2023D44845,"[""Buitenlands Beleid""]"
338,2023D44846,"[""Buitenlands Beleid""]"
339,2023D44849,"[""Buitenlands Beleid""]"
340,2023D44840,"[""Economie & Financiën""]"
341,2023D44503,"[""Economie & Financiën""]"
342,2023D44712,"[""Economie & Financiën"", ""Milieu en Natuur""]"
343,2023D44505,"[""Economie & Financiën""]"
344,2023D44839,"[""Economie & Financiën""]"
345,2023D44926,"[""Milieu en Natuur"", ""Buitenlands Beleid""]"
346,2023D44626,"[""Zorg en Gezondheid""]"
347,2023D44835,"[""Verkeer en Vervoer""]"
348,2023D44847,"[""Buitenlands Beleid""]"
349,2023D44809,"[""Economie & Financiën""]"
350,2023D44808,"[""Veiligheid en Justitie"", ""Economie & Financiën""]"
351,2023D44844,"[""Buitenlands Beleid"", ""Veiligheid en Justitie""]"
352,2023D44510,"[""Zorg en Gezondheid"", ""Milieu en Natuur""]"
353,2023D44495,"[""Milieu en Natuur""]"
354,2023D44486,"[""Zorg en Gezondheid""]"
355,2023D44356,"[""Economie & Financiën"", ""Buitenlands Beleid""]"
356,2023D44322,"[""Buitenlands Beleid""]"
357,2023D44715,"[""Buitenlands Beleid""]"
358,2023D44718,"[""Economie & Financiën""]"
359,2023D44683,"[""Immigratie, Asiel en Integratie""]"
360,2023D44518,"[""Buitenlands Beleid""]"
361,2023D44522,"[""Economie & Financiën""]"
362,2023D44516,"[""Buitenlands Beleid""]"
363,2023D44684,"[""Buitenlands Beleid""]"
364,2023D44496,"[""Buitenlands Beleid""]"
365,2023D44687,"[""Buitenlands Beleid""]"
366,2023D44521,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
367,2023D44523,"[""Buitenlands Beleid""]"
368,2023D44517,"[""Economie & Financiën""]"
369,2023D44739,"[""Milieu en Natuur""]"
370,2023D44515,"[""Buitenlands Beleid""]"
371,2023D44762,"[""Economie & Financiën""]"
372,2023D44498,"[""Milieu en Natuur""]"
373,2023D44751,"[""Milieu en Natuur""]"
374,2023D44797,"[""Economie & Financiën""]"
375,2023D44803,"[""Buitenlands Beleid""]"
376,2023D44494,"[""Buitenlands Beleid""]"
377,2023D44802,"[""Milieu en Natuur""]"
378,2023D44748,"[""Milieu en Natuur""]"
379,2023D44872,"[""Buitenlands Beleid""]"
380,2023D44798,"[""Economie & Financiën""]"
381,2023D44760,"[""Zorg en Zorg en Gezondheid""]"
382,2023D44805,"[""Milieu en Natuur""]"
383,2023D44763,"[""Milieu en Natuur"", ""Buitenlands Beleid""]"
384,2023D44800,"[""Economie & Financiën""]"
385,2023D44796,"[""Economie & Financiën""]"
386,2023D44804,"[""Onderwijs, Cultuur en Wetenschap""]"
387,2023D44799,"[""Economie & Financiën""]"
388,2023D44863,"[""Veiligheid en Justitie""]"
389,2023D44869,"[""Zorg en Gezondheid""]"
390,2023D44860,"[""Milieu en Natuur""]"
391,2023D44758,"[""Economie & Financiën""]"
392,2023D44870,"[""Zorg en Gezondheid""]"
393,2023D44871,"[""Zorg en Gezondheid""]"
394,2023D44861,"[""Milieu en Natuur""]"
395,2023D44862,"[""Economie & Financiën""]"
396,2023D44858,"[""Milieu en Natuur""]"
397,2023D44856,"[""Milieu en Natuur"", ""Verkeer en Vervoer""]"
398,2023D44857,"[""Verkeer en Vervoer""]"
399,2023D44811,"[""Economie & Financiën""]"
400,2023D44788,"[""Verkeer en Vervoer"", ""Economie & Financiën""]"
401,2023D44868,"[""Zorg en Gezondheid""]"
402,2023D44818,"[""Economie & Financiën""]"
403,2023D44853,"[""Verkeer en Vervoer"", ""Milieu en Natuur""]"
404,2023D44830,"[""Verkeer en Vervoer""]"
405,2023D44816,"[""Economie & Financiën"", ""Verkeer en Vervoer""]"
406,2023D44865,"[""Zorg en Gezondheid""]"
407,2023D44864,"[""Zorg en Gezondheid"", ""Veiligheid en Justitie""]"
408,2023D44852,"[""Milieu en Natuur""]"
409,2023D44831,"[""Immigratie, Asiel en Integratie""]"
410,2023D44833,"[""Bestuur en Organisatie""]"
411,2023D44855,"[""Verkeer en Vervoer"", ""Milieu en Natuur""]"
412,2023D44815,"[""Immigratie, Asiel en Integratie"", ""Zorg en Gezondheid"", ""Economie & Financiën""]"
413,2023D44866,"[""Zorg en Gezondheid""]"
414,2023D44813,"[""Economie & Financiën""]"
415,2023D44867,"[""Zorg en Gezondheid""]"
416,2023D44851,"[""Economie & Financiën"", ""Veiligheid en Justitie""]"
417,2023D44691,"[""Veiligheid en Justitie""]"
418,2023D44787,"[""Verkeer en Vervoer"", ""Buitenlands Beleid""]"
419,2023D44820,"[""Veiligheid en Justitie""]"
420,2023D44786,"[""Buitenlands Beleid""]"
421,2023D44823,"[""Zorg en Gezondheid""]"
422,2023D44470,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
423,2023D44821,"[""Economie & Financiën"", ""Verkeer en Vervoer""]"
424,2023D44825,"[""Buitenlands Beleid""]"
425,2023D44478,"[""Buitenlands Beleid"", ""Milieu en Natuur"", ""Economie & Financiën""]"
426,2023D44810,"[""Economie & Financiën""]"
427,2023D44826,"[""Economie & Financiën"", ""Verkeer en Vervoer""]"
428,2023D44807,"[""Economie & Financiën""]"
429,2023D44832,"[""Veiligheid en Justitie""]"
430,2023D44469,"[""Buitenlands Beleid""]"
431,2023D44824,"[""Economie & Financiën"", ""Milieu en Natuur""]"
432,2023D44468,"[""Onderwijs, Cultuur en Wetenschap""]"
433,2023D44884,"[""Zorg en Zorg en Gezondheid""]"
434,2023D44475,"[""Buitenlands Beleid""]"
435,2023D44769,"[""Milieu en Natuur"", ""Economie & Financiën""]"
436,2023D44876,"[""Zorg en Gezondheid""]"
437,2023D44827,"[""Overheid en Dienstverlening""]"
438,2023D44784,"[""Milieu en Natuur""]"
439,2023D44770,"[""Zorg en Gezondheid""]"
440,2023D44476,"[""Economie & Financiën""]"
441,2023D44688,"[""Veiligheid en Justitie""]"
442,2023D44828,"[""Verkeer en Vervoer""]"
443,2023D44888,"[""Onderwijs, Cultuur en Wetenschap""]"
444,2023D44473,"[""Buitenlands Beleid"", ""Milieu en Natuur""]"
445,2023D44883,"[""Zorg en Gezondheid"", ""Milieu en Natuur""]"
446,2023D44881,"[""Zorg en Gezondheid"", ""Verkeer en Vervoer""]"
447,2023D44889,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
448,2023D44773,"[""Milieu en Natuur"", ""Economie & Financiën""]"
449,2023D44890,"[""Onderwijs, Cultuur en Wetenschap""]"
450,2023D44471,"[""Buitenlands Beleid"", ""Economie & Financiën""]"
451,2023D44887,"[""Onderwijs, Cultuur en Wetenschap""]"
452,2023D44891,"[""Onderwijs, Cultuur en Wetenschap""]"
453,2023D44877,"[""Zorg en Gezondheid"", ""Economie & Financiën""]"
454,2023D44892,"[""Onderwijs, Cultuur en Wetenschap""]"
455,2023D44875,"[""Technologie""]"
456,2023D44764,"[""Milieu en Natuur""]"
457,2023D44885,"[""Zorg en Gezondheid""]"
458,2023D44882,"[""Zorg en Gezondheid""]"
459,2023D44834,"[""Buitenlands Beleid""]"
460,2023D44772,"[""Milieu en Natuur""]"
461,2023D44880,"[""Zorg en Gezondheid""]"
462,2023D44771,"[""Milieu en Natuur""]"
463,2023D44383,"[""Onderwijs, Cultuur en Wetenschap""]"
464,2023D44407,"[""Zorg en Gezondheid""]"
465,2023D44382,"[""Onderwijs, Cultuur en Wetenschap""]"
466,2023D44379,"[""Onderwijs, Cultuur en Wetenschap""]"
467,2023D44380,"[""Onderwijs, Cultuur en Wetenschap""]"
468,2023D44384,"[""Onderwijs, Cultuur en Wetenschap""]"
469,2023D44386,"[""Onderwijs, Cultuur en Wetenschap""]"
470,2023D44381,"[""Onderwijs, Cultuur en Wetenschap""]"
471,2023D44117,"[""Veiligheid en Justitie""]"
472,2023D44368,"[""Onderwijs, Cultuur en Wetenschap""]"
473,2023D44230,"[""Buitenlands Beleid""]"
