,gpt4o_mini_rechts,gpt4o_mini_rechts_voor_lprob,gpt4o_mini_rechts_tegen_lprob,gpt4o_mini_centristisch,gpt4o_mini_centristisch_voor_lprob,gpt4o_mini_centristisch_tegen_lprob
51,tegen,-2.0223231,-0.14732306,tegen,-9.7515335,-0.0015335473
52,tegen,-8.625876,-0.00087668543,voor,-0.038088307,-11.913088
53,voor,-0.09711327,-2.4721134,voor,-0.015042012,-5.265042
54,tegen,-2.0213103,-0.14631045,tegen,-15.386284,-0.011283836
55,tegen,-4.7598286,-0.009828457,tegen,-2.5837502,-0.08375032
56,voor,-0.05853115,-4.1835313,tegen,-13.750895,-0.0008945476
57,voor,-0.020623289,-10.020623,voor,-0.25204667,-16.002047
58,voor,-0.0265707,-8.40157,voor,-0.048638687,-14.673638
59,voor,-0.048664693,-11.173665,voor,-0.148893,-2.0238929
60,tegen,-3.0515764,-0.051576354,voor,-0.25204194,-16.377043
61,tegen,-7.3775053,-0.0025055055,voor,-0.16716634,-1.9171664
62,tegen,-12.500459,-0.0004589095,voor,-0.4773082,-0.9773082
63,tegen,-13.626128,-0.0011285446,voor,-0.02228249,-4.3972826
64,tegen,-8.500819,-0.00081915775,tegen,-7.7509155,-0.0009156247
65,voor,-0.005081007,-7.755081,voor,-0.012570867,-10.512571
66,tegen,-1.6063094,-0.23130947,voor,-0.10029056,-11.97529
67,tegen,-2.5820282,-0.08202815,voor,-0.078966565,-13.203966
68,tegen,-11.004247,-0.0042463853,voor,-0.052333266,-3.6773334
69,tegen,-6.876799,-0.0017989352,voor,-0.20151323,-14.701513
70,voor,-0.048810937,-8.673811,voor,-0.050432887,-3.175433
71,voor,-0.038110573,-10.663111,voor,-0.10029401,-16.100294
72,voor,-0.2186027,-2.3436027,voor,-0.07766179,-3.5776618
73,tegen,-1.5045325,-0.25453246,voor,-0.04863665,-12.798636
74,tegen,-2.3538363,-0.10383637,voor,-0.6954064,-0.6954064
75,voor,-0.04467739,-5.0446773,voor,-0.062038157,-12.562038
76,tegen,-2.6957366,-0.07073656,voor,-0.005980816,-11.1309805
77,tegen,-6.3787985,-0.0037985346,voor,-0.03391515,-8.5339155
78,tegen,-8.376056,-0.0010559146,voor,-0.07919479,-8.454195
79,tegen,-1.5048122,-0.25481218,voor,-0.048648223,-13.798648
80,tegen,-3.2892165,-0.039216634,tegen,-13.126274,-0.001273685
81,voor,-0.022716202,-5.022716,voor,-0.03812687,-10.038127
82,tegen,-1.1410367,-0.39103675,voor,-0.20150827,-15.0765085
83,tegen,-8.00135,-0.0013505917,voor,-0.048708983,-9.798709
84,tegen,-8.751799,-0.0017990543,tegen,-7.377558,-0.0025580688
85,voor,-0.08947743,-2.7144775,voor,-0.4742225,-14.349222
86,tegen,-2.3518884,-0.10188843,voor,-0.2520187,-16.377018
87,tegen,-5.007993,-0.007993418,voor,-0.06202852,-13.187029
88,voor,-0.15410227,-2.0291023,voor,-0.033718433,-10.783718
89,tegen,-9.001159,-0.0011589158,voor,-0.02909083,-4.779091
90,tegen,-8.12694,-0.0019395847,voor,-0.062045548,-11.312045
91,tegen,-5.878988,-0.0039876928,voor,-0.048636764,-12.923636
92,tegen,-1.4094496,-0.28444958,voor,-0.1603273,-14.035327
93,tegen,-1.3161386,-0.31613863,voor,-0.03810128,-12.163101
94,voor,-0.3926833,-1.1426833,voor,-0.12698574,-15.126986
95,tegen,-6.129604,-0.00460398,voor,-0.06204734,-10.687047
96,tegen,-13.001315,-0.0013153551,voor,-0.023338303,-9.898338
97,tegen,-6.626549,-0.0015489027,voor,-0.07897968,-14.0789795
98,voor,-0.26256272,-1.5125628,voor,-0.12700728,-13.5020075
99,voor,-0.038358513,-8.288359,voor,-0.20151703,-11.451517
100,tegen,-0.9765125,-0.4765125,voor,-0.007302764,-6.6323028
101,tegen,-10.502959,-0.0029590426,voor,-0.0252132,-6.2752132
102,tegen,-5.7545857,-0.0045858226,voor,-0.04865663,-11.673656
103,tegen,-2.5806427,-0.08064278,voor,-0.38699678,-13.386997
104,tegen,-9.375573,-0.00057280954,voor,-0.05497696,-10.304977
105,tegen,-11.625347,-0.00034666734,voor,-0.06204936,-11.437049
106,tegen,-2.698311,-0.07331108,voor,-0.048692856,-10.298693
107,tegen,-8.252335,-0.0023343784,voor,-0.012603715,-5.8876038
108,voor,-0.053086564,-5.4280868,tegen,-6.6278915,-0.0028914174
109,voor,-0.023028478,-6.0230284,voor,-0.026374735,-10.526375
110,tegen,-13.751037,-0.0010367411,voor,-0.583107,-0.833107
111,tegen,-1.143385,-0.39338508,voor,-0.2015257,-14.701526
112,tegen,-3.7739239,-0.023923934,voor,-0.01821292,-11.143213
113,tegen,-2.3522022,-0.102202095,voor,-0.026381353,-10.2763815
114,tegen,-0.90299803,-0.52799803,voor,-0.16034934,-11.910349
115,tegen,-2.9328823,-0.057882216,voor,-0.07897329,-13.953974
116,voor,-0.24125983,-1.6162598,voor,-0.47421718,-14.599217
117,tegen,-7.8765564,-0.0015561631,voor,-0.048658784,-11.548658
118,tegen,-7.1265726,-0.0015725913,voor,-0.0789702,-14.45397
119,tegen,-4.7592053,-0.009205457,voor,-0.07895335,-13.953954
120,tegen,-4.389215,-0.014214988,voor,-0.20150866,-11.2015085
121,tegen,-3.4104407,-0.035440728,voor,-0.023330498,-10.148331
122,tegen,-10.8753805,-0.0003801489,voor,-0.015739769,-4.39074
123,tegen,-5.8797135,-0.0047133765,voor,-0.020598648,-11.270598
124,tegen,-4.513668,-0.0136681115,voor,-0.16031724,-12.910317
125,tegen,-1.9117829,-0.16178286,voor,-0.011423621,-8.011424
126,voor,-0.038167953,-9.538168,voor,-0.12700474,-16.377005
127,tegen,-0.9136987,-0.5386987,voor,-0.20151334,-12.826513
128,voor,-0.31704462,-1.3170446,voor,-0.038112182,-10.788113
129,voor,-0.0873353,-2.7123353,voor,-0.023369282,-9.398369
130,voor,-0.03215712,-4.032157,voor,-0.012649494,-9.26265
131,tegen,-11.509903,-0.009902703,tegen,-7.0032196,-0.0032197798
132,voor,-0.042046275,-3.6670463,tegen,-5.878599,-0.0035989983
133,tegen,-3.6529427,-0.027942557,voor,-0.048680138,-10.54868
134,tegen,-9.627374,-0.002373866,tegen,-9.126157,-0.0011567702
135,tegen,-6.626658,-0.0016579245,voor,-0.06207031,-10.18707
136,voor,-0.26112765,-4.7611275,voor,-0.12767185,-7.3776717
137,tegen,-3.2892134,-0.03921332,voor,-0.15389328,-2.0288932
138,tegen,-1.5090008,-0.25900084,voor,-0.06205754,-11.0620575
139,tegen,-14.626811,-0.0018113178,tegen,-11.627023,-0.0020224971
140,voor,-0.65155613,-0.77655613,voor,-0.12703992,-10.37704
141,tegen,-10.502115,-0.0021148124,voor,-0.021939209,-6.6469393
142,tegen,-2.5801144,-0.08011431,voor,-0.078958854,-13.2039585
143,voor,-0.53410846,-0.90910846,voor,-0.11741891,-2.367419
144,tegen,-2.1292107,-0.12921079,voor,-0.019229637,-6.8942294
145,tegen,-6.6271224,-0.0021224266,voor,-0.10836153,-2.3583615
146,tegen,-8.751671,-0.001671015,voor,-0.048672646,-10.923673
147,tegen,-4.512516,-0.0125160115,voor,-0.062043983,-11.312044
148,tegen,-5.3836594,-0.008659132,voor,-0.08907121,-9.964071
149,tegen,-8.375714,-0.0007141008,voor,-0.016092438,-10.641092
150,tegen,-7.6258073,-0.00080712914,voor,-0.016079653,-12.14108
151,tegen,-5.6298103,-0.0048101847,tegen,-10.501183,-0.0011823695
152,tegen,-0.9794493,-0.47944927,voor,-0.10028657,-12.8502865
153,tegen,-15.127294,-0.0022938251,tegen,-11.375732,-0.00073231687
154,voor,-0.6946359,-0.6946359,voor,-0.078977585,-15.078978
155,tegen,-2.9318733,-0.056873336,tegen,-1.4077287,-0.2827286
156,voor,-0.13135391,-2.3813539,voor,-0.02178035,-4.8967805
157,tegen,-3.7763183,-0.026318297,voor,-0.10027978,-11.47528
158,tegen,-2.697371,-0.07237101,voor,-0.07896712,-12.828967
159,voor,-0.07916043,-8.454161,tegen,-3.537444,-0.037444092
160,tegen,-9.50887,-0.00887042,voor,-0.29360044,-1.6686004
161,tegen,-7.0015426,-0.001542715,voor,-0.25205824,-15.127058
162,tegen,-1.6033831,-0.22838302,voor,-0.078979135,-10.4539795
163,tegen,-9.626709,-0.0017089712,voor,-0.078967676,-11.078968
164,tegen,-1.8065969,-0.18159692,voor,-0.07896073,-13.45396
165,tegen,-3.1695783,-0.044578206,voor,-0.04864755,-13.298648
166,tegen,-2.4648957,-0.08989568,voor,-0.048653223,-14.423654
167,voor,-0.016981903,-5.141982,voor,-0.0077503677,-6.0077505
168,tegen,-12.12582,-0.0008205882,voor,-0.022770278,-4.7727704
169,tegen,-5.2563186,-0.0063186125,voor,-0.062028855,-12.687029
170,tegen,-13.251857,-0.0018572459,tegen,-4.6366606,-0.011660355
171,tegen,-12.126159,-0.0011586774,voor,-0.03036519,-5.530365
172,tegen,-9.125968,-0.00096768007,voor,-0.16050398,-8.660504
173,tegen,-8.12697,-0.0019702658,voor,-0.10031558,-10.725316
174,tegen,-12.626825,-0.001824885,tegen,-13.250911,-0.00091122516
175,tegen,-5.131792,-0.006791863,voor,-0.01829954,-9.143299
176,voor,-0.39402747,-1.1440275,voor,-0.026390634,-9.901391
177,tegen,-2.6963432,-0.07134325,voor,-0.048667755,-12.048668
178,voor,-0.35324258,-1.2282426,voor,-0.100287646,-13.850287
179,tegen,-10.000708,-0.000708025,voor,-0.012568285,-10.637568
180,voor,-0.2611158,-1.5111158,voor,-0.018685838,-4.893686
181,voor,-0.022237133,-5.5222373,voor,-0.0620265,-12.312027
182,tegen,-4.637339,-0.012339053,voor,-0.100291096,-14.225291
183,tegen,-1.8086851,-0.18368505,voor,-0.10028787,-12.350287
184,tegen,-2.3515396,-0.10153955,voor,-0.020743566,-8.770743
185,tegen,-5.8799734,-0.0049731894,voor,-0.026988393,-7.4019885
186,tegen,-4.512143,-0.012143214,voor,-0.100279994,-12.72528
187,tegen,-0.7648739,-0.6398739,voor,-0.023332944,-10.148333
188,voor,-0.63872236,-0.76372236,voor,-0.033723157,-10.908723
189,voor,-0.068453155,-2.818453,voor,-0.011120096,-10.38612
190,tegen,-3.169206,-0.044205893,voor,-0.048643116,-12.673643
191,tegen,-4.883581,-0.008581363,voor,-0.07897075,-12.828971
192,tegen,-5.3810987,-0.006098601,voor,-0.12700738,-13.7520075
193,tegen,-3.410717,-0.035717066,voor,-0.048642434,-12.673642
194,voor,-0.20790045,-1.7079004,voor,-0.014207468,-11.764208
195,tegen,-11.25165,-0.0016498297,tegen,-11.876626,-0.0016261449
196,tegen,-10.127943,-0.0029428748,voor,-0.049386255,-7.299386
197,tegen,-2.019061,-0.14406106,voor,-0.011248825,-8.761249
198,tegen,-4.1437993,-0.018799094,voor,-0.020606121,-10.645606
199,tegen,-4.5133433,-0.013343513,voor,-0.051952615,-3.3019526
200,tegen,-4.1418743,-0.01687419,voor,-0.038101736,-12.413102
201,voor,-0.09844568,-3.3484457,voor,-0.15435351,-2.1543536
202,tegen,-2.3512952,-0.10129516,voor,-0.06205014,-13.18705
203,tegen,-9.250656,-0.0006562008,voor,-0.048640843,-13.548641
204,tegen,-8.752485,-0.0024851693,voor,-0.016151672,-9.516151
205,tegen,-4.512169,-0.012168893,voor,-0.07895159,-14.203952
206,tegen,-6.7517695,-0.0017695432,voor,-0.078955,-13.953955
207,tegen,-4.512132,-0.01213239,voor,-0.048652086,-12.798652
208,tegen,-3.4108143,-0.03581426,voor,-0.014780591,-7.5147805
209,voor,-0.12937818,-3.254378,voor,-0.32315,-1.32315
210,tegen,-13.752299,-0.0022996552,voor,-0.070556276,-7.570556
211,tegen,-3.289682,-0.039681796,voor,-0.026395857,-10.026396
212,voor,-0.64105743,-0.76605743,voor,-0.16030262,-13.535302
213,voor,-0.079198316,-2.7041984,voor,-0.012654323,-9.137654
214,voor,-0.037234854,-3.7872348,voor,-0.06203199,-11.937032
215,voor,-0.43590584,-1.0609058,voor,-0.16028596,-17.035286
216,tegen,-0.82896435,-0.57896435,voor,-0.20152387,-13.701524
217,tegen,-0.76506513,-0.64006513,voor,-0.12700728,-13.1270075
218,tegen,-1.5043546,-0.25435463,voor,-0.062027622,-15.687028
219,tegen,-14.125754,-0.000754001,voor,-0.016142637,-9.516143
220,tegen,-9.126414,-0.0014142813,voor,-0.2015178,-13.326518
221,tegen,-7.8791356,-0.0041356306,tegen,-7.004699,-0.004699138
222,tegen,-7.501875,-0.0018747397,voor,-0.062027734,-12.937028
223,tegen,-1.7043734,-0.2043733,voor,-0.06204678,-10.687047
224,tegen,-0.97693956,-0.47693953,voor,-0.078960404,-13.70396
225,tegen,-2.3575785,-0.10757843,voor,-0.04312513,-9.668125
226,tegen,-12.376151,-0.0011512941,voor,-0.0142032355,-12.014203
227,tegen,-5.7539835,-0.003983297,voor,-0.1002829,-12.475283
228,tegen,-9.876492,-0.0014911732,voor,-0.054977525,-10.554977
229,tegen,-1.4083132,-0.28331318,voor,-0.0620376,-12.937037
230,tegen,-7.378308,-0.003307943,voor,-0.07755423,-2.8275542
231,tegen,-9.625671,-0.00067097833,voor,-0.018231302,-10.018231
232,tegen,-2.813106,-0.06310608,voor,-0.062063027,-10.187063
233,tegen,-10.375304,-0.00030436102,voor,-0.016082117,-11.891082
234,tegen,-2.931257,-0.05625701,voor,-0.100387394,-9.225388
235,tegen,-13.875849,-0.00084845984,tegen,-2.1320188,-0.13201882
236,tegen,-7.37948,-0.004479847,voor,-0.14387526,-6.893875
237,tegen,-11.250433,-0.0004325765,voor,-0.033724427,-10.408725
238,voor,-0.11571647,-3.1157165,tegen,-8.875849,-0.00084917503
239,voor,-0.12712465,-9.002125,voor,-0.077315934,-2.827316
240,tegen,-10.001052,-0.0010523385,tegen,-13.125714,-0.00071469677
241,tegen,-11.875615,-0.000614982,voor,-0.017367534,-4.8923674
242,tegen,-10.501168,-0.0011686758,voor,-0.04864448,-13.048644
243,tegen,-14.125525,-0.00052551134,tegen,-7.1272054,-0.0022052128
244,tegen,-10.375481,-0.0004806009,voor,-0.029968238,-8.779968
245,tegen,-13.0068865,-0.006886935,tegen,-8.500955,-0.00095445575
246,tegen,-10.0006485,-0.0006485754,voor,-0.012892303,-8.012893
247,voor,-0.20392832,-6.0789285,voor,-0.3344785,-1.7094785
248,tegen,-13.128344,-0.0033431174,tegen,-5.385992,-0.010991817
249,voor,-0.12875468,-6.3787546,tegen,-1.2307469,-0.35574684
250,tegen,-10.630425,-0.0054257317,voor,-0.35393903,-1.228939
251,tegen,-1.2263806,-0.35138056,voor,-0.043171376,-9.043171
252,tegen,-12.376114,-0.0011142584,voor,-0.45134225,-1.0763422
253,tegen,-3.5302644,-0.030264357,voor,-0.12702638,-14.252027
254,voor,-0.027828025,-6.527828,voor,-0.078962825,-14.203963
255,tegen,-13.500922,-0.0009218233,voor,-0.13317508,-2.1331751
256,tegen,-5.8848844,-0.00988429,voor,-0.034252275,-4.534252
257,tegen,-1.7088985,-0.20889857,tegen,-0.906625,-0.531625
258,tegen,-4.1448283,-0.019828299,tegen,-6.6275215,-0.0025215612
259,tegen,-5.2556868,-0.0056866687,voor,-0.048649024,-11.548649
260,tegen,-0.7639339,-0.6389339,voor,-0.23009036,-1.6050904
261,tegen,-4.1421685,-0.017168473,voor,-0.03809198,-12.538092
262,tegen,-6.377772,-0.0027720705,voor,-0.06204488,-11.437045
263,tegen,-10.250408,-0.00040779312,voor,-0.026373103,-10.526373
264,voor,-0.03148991,-6.40649,voor,-0.20150125,-12.701501
265,voor,-0.12034941,-3.2453494,voor,-0.02698514,-7.401985
266,voor,-0.2575339,-5.257534,tegen,-11.254216,-0.0042164703
267,voor,-0.06284394,-3.562844,voor,-0.04309579,-10.168096
268,tegen,-5.5048184,-0.0048183766,voor,-0.10027665,-14.225277
269,voor,-0.08520846,-3.0852084,voor,-0.20238496,-7.077385
270,voor,-0.31338012,-10.68838,tegen,-4.142903,-0.017903034
271,voor,-0.70390004,-0.70390004,voor,-0.016158005,-9.516158
272,voor,-0.22669366,-1.7266936,voor,-0.026080817,-5.9010806
273,tegen,-2.932014,-0.05701387,voor,-0.008831424,-6.7588315
274,voor,-0.16032466,-11.035325,voor,-0.048652086,-11.798652
275,tegen,-5.013143,-0.013143286,voor,-0.16030668,-12.910307
276,tegen,-11.750832,-0.0008313055,voor,-0.018417163,-8.518417
277,tegen,-6.37914,-0.004140022,voor,-0.042121366,-3.6671214
278,tegen,-3.7737155,-0.023715451,voor,-0.007131147,-7.882131
279,tegen,-2.6965814,-0.07158131,voor,-0.4742093,-17.474209
280,voor,-0.12730172,-8.127302,tegen,-10.12619,-0.0011904644
281,tegen,-2.6981091,-0.07310911,voor,-0.038105525,-11.288106
282,tegen,-6.0036106,-0.00361064,voor,-0.31337848,-15.063378
283,voor,-0.2520375,-11.877037,voor,-0.38699532,-12.511995
284,voor,-0.030093629,-4.2800937,voor,-0.1270434,-14.252044
285,tegen,-9.50089,-0.00088966393,voor,-0.20151821,-14.076518
286,tegen,-12.128715,-0.00371445,tegen,-6.6324673,-0.0074673705
287,tegen,-11.250904,-0.0009045534,voor,-0.25203574,-13.002036
288,tegen,-6.880844,-0.0058439425,tegen,-5.260155,-0.010155153
289,voor,-0.39834556,-1.1483456,tegen,-10.250573,-0.00057316717
290,tegen,-8.6266575,-0.0016575669,voor,-0.12700172,-15.377002
291,tegen,-12.6255045,-0.00050418125,voor,-0.023288919,-12.023289
292,tegen,-12.876152,-0.0011521248,voor,-0.38699946,-16.637
293,tegen,-10.377069,-0.0020690178,voor,-0.07896194,-12.203962
294,tegen,-11.251832,-0.0018323729,voor,-0.32144612,-1.3214462
295,tegen,-8.2505455,-0.000545169,tegen,-6.876502,-0.0015021216
296,voor,-0.4783881,-0.9783881,voor,-0.04865402,-12.673654
297,tegen,-12.251283,-0.0012822568,voor,-0.63547957,-0.76047957
298,tegen,-10.000397,-0.0003968264,voor,-0.029808005,-12.654808
299,tegen,-11.377052,-0.0020527164,voor,-0.016289486,-8.51629
300,tegen,-12.375733,-0.00073315133,voor,-0.008906686,-8.258906
301,tegen,-9.500934,-0.0009338519,voor,-0.018523078,-8.018523
302,voor,-0.18651739,-1.8115174,voor,-0.062036138,-13.0620365
303,voor,-0.32126907,-1.321269,voor,-0.062035352,-14.562036
304,voor,-0.09397052,-2.4689705,voor,-0.023295673,-13.523295
305,tegen,-6.751686,-0.0016862474,voor,-0.10030652,-16.350307
306,tegen,-5.0096717,-0.009671452,voor,-0.07939225,-2.8293922
307,tegen,-9.75097,-0.0009700604,voor,-0.014229914,-10.63923
308,tegen,-4.2664814,-0.01648145,voor,-0.2712514,-1.5212514
309,tegen,-1.4121225,-0.28712255,voor,-0.6932642,-17.568264
310,tegen,-13.000278,-0.0002783783,voor,-0.313388,-15.188388
311,tegen,-5.406713,-0.031713177,voor,-0.1752178,-1.9252179
312,tegen,-10.000455,-0.0004549831,voor,-0.048651975,-11.298652
313,voor,-0.10584485,-4.105845,tegen,-5.007946,-0.007945986
314,tegen,-3.7749546,-0.02495464,voor,-0.016493764,-5.016494
315,tegen,-9.375325,-0.00032521432,voor,-0.0061606932,-8.506161
316,tegen,-5.3802,-0.0051997243,tegen,-10.750497,-0.000496675
317,tegen,-11.375328,-0.0003278368,voor,-0.009040074,-7.88404
318,tegen,-15.754778,-0.0047779228,tegen,-3.289529,-0.03952917
319,voor,-0.07900204,-10.079002,voor,-0.39841154,-1.1484115
320,tegen,-15.001008,-0.0010081579,tegen,-14.875453,-0.00045319507
321,tegen,-1.5045302,-0.25453025,voor,-0.06203468,-14.812035
322,tegen,-15.008773,-0.008772927,tegen,-11.876617,-0.0016178115
323,voor,-0.25458014,-1.5045801,tegen,-6.252162,-0.0021618025
324,tegen,-6.876628,-0.0016279292,voor,-0.23203672,-1.6070367
325,tegen,-14.001828,-0.0018285766,voor,-0.058178734,-3.3081787
326,tegen,-12.625254,-0.00025394888,voor,-0.06204432,-12.687044
327,tegen,-14.386205,-0.011205092,tegen,-11.000753,-0.0007529281
328,tegen,-12.254214,-0.0042146896,tegen,-10.626059,-0.0010590102
329,tegen,-2.8160005,-0.06600038,voor,-0.033740442,-10.53374
330,tegen,-12.87615,-0.0011503404,voor,-0.03425366,-7.5342536
331,tegen,-14.377603,-0.0026030068,tegen,-12.8755455,-0.00054540735
332,tegen,-1.3175241,-0.3175241,voor,-0.029797357,-12.154798
333,tegen,-7.875903,-0.0009030038,voor,-0.07895401,-14.703954
334,tegen,-8.8755455,-0.00054540735,voor,-0.029798975,-13.0297985
335,voor,-0.3230813,-1.3230813,voor,-0.10028237,-14.475283
336,voor,-0.07041685,-2.945417,voor,-0.05572724,-7.180727
337,voor,-0.062079724,-9.812079,voor,-0.06203221,-12.812032
338,tegen,-2.2394438,-0.1144437,voor,-0.017111987,-6.892112
339,tegen,-1.1449637,-0.39496374,voor,-0.10043698,-8.850437
340,voor,-0.102298304,-6.2272983,voor,-0.062038824,-11.062038
341,tegen,-7.2511044,-0.0011043756,voor,-0.0110982815,-11.386098
342,tegen,-8.875558,-0.0005580356,voor,-0.12702617,-15.252027
343,voor,-0.046469953,-3.29647,voor,-0.1270036,-13.377004
344,tegen,-12.500946,-0.00094575755,voor,-0.048651747,-11.423652
345,tegen,-10.000409,-0.00040958117,voor,-0.078974724,-12.453975
346,tegen,-9.250313,-0.000312344,tegen,-0.82817924,-0.57817924
347,tegen,-7.8755913,-0.00059104036,voor,-0.018427694,-5.143428
348,tegen,-1.5091796,-0.2591796,voor,-0.16031165,-12.160312
349,tegen,-3.1714742,-0.046474274,voor,-0.078957535,-11.578958
350,tegen,-2.019627,-0.14462702,voor,-0.029812861,-12.904813
351,voor,-0.09274798,-2.467748,voor,-0.048642214,-14.173642
352,tegen,-1.2279031,-0.3529032,voor,-0.1603204,-12.66032
353,tegen,-12.127313,-0.002312742,voor,-0.033758767,-9.908759
354,tegen,-6.8809304,-0.0059304554,voor,-0.026622234,-8.276622
355,tegen,-6.8767014,-0.0017014834,voor,-0.10031601,-10.100316
356,tegen,-2.3599994,-0.10999937,tegen,-2.5837083,-0.08370832
357,tegen,-1.4229256,-0.29792556,tegen,-9.376392,-0.0013920196
358,voor,-0.07931251,-7.9543123,tegen,-7.501042,-0.001042098
359,tegen,-8.751188,-0.0011880877,tegen,-1.3173424,-0.31734237
360,tegen,-8.125802,-0.000802361,voor,-0.02335985,-9.52336
361,tegen,-7.0014906,-0.0014906964,voor,-0.012595004,-4.637595
362,tegen,-11.127092,-0.0020926844,tegen,-1.6070343,-0.23203437
363,voor,-0.25775006,-1.63275,voor,-0.018294854,-5.518295
364,tegen,-11.500974,-0.0009739941,voor,-0.12700821,-12.502008
365,tegen,-5.50804,-0.008040003,voor,-0.04332767,-8.293327
366,tegen,-5.007263,-0.007263366,voor,-0.16031115,-12.785311
367,tegen,-8.126059,-0.001058891,voor,-0.10029368,-13.100294
368,tegen,-11.50085,-0.0008500095,voor,-0.020647347,-9.770647
369,tegen,-10.250294,-0.0002935135,voor,-0.0068259556,-9.506826
370,tegen,-10.501459,-0.0014594045,voor,-0.10029972,-12.3503
371,tegen,-4.637059,-0.0120592415,voor,-0.16031206,-13.660312
372,tegen,-8.126134,-0.001133905,voor,-0.100274704,-14.100275
373,tegen,-5.629484,-0.004484239,tegen,-6.0034413,-0.0034412458
374,tegen,-1.2289929,-0.3539929,voor,-0.16030201,-12.785302
375,voor,-0.036391366,-4.1613913,voor,-0.20151831,-12.576518
376,tegen,-4.1418223,-0.01682227,voor,-0.16031642,-13.910316
377,tegen,-10.125476,-0.00047547516,voor,-0.009855607,-9.634855
378,tegen,-9.501206,-0.0012063038,voor,-0.062044203,-11.312044
379,tegen,-4.266397,-0.016396912,voor,-0.18636504,-1.936365
380,tegen,-14.503735,-0.0037348797,voor,-0.090910874,-2.840911
