,id,gpt-3.5turbo_de PVV_vote,gpt-3.5turbo_de PVV_voor_lprob,gpt-3.5turbo_de PVV_tegen_lprob,gpt-3.5turbo_GroenLinks-PvdA_vote,gpt-3.5turbo_GroenLinks-PvdA_voor_lprob,gpt-3.5turbo_GroenLinks-PvdA_tegen_lprob,gpt-3.5turbo_de VVD_vote,gpt-3.5turbo_de VVD_voor_lprob,gpt-3.5turbo_de VVD_tegen_lprob,gpt-3.5turbo_het NSC_vote,gpt-3.5turbo_het NSC_voor_lprob,gpt-3.5turbo_het NSC_tegen_lprob,gpt-3.5turbo_D66_vote,gpt-3.5turbo_D66_voor_lprob,gpt-3.5turbo_D66_tegen_lprob,gpt-3.5turbo_de BBB_vote,gpt-3.5turbo_de BBB_voor_lprob,gpt-3.5turbo_de BBB_tegen_lprob,gpt-3.5turbo_het CDA_vote,gpt-3.5turbo_het CDA_voor_lprob,gpt-3.5turbo_het CDA_tegen_lprob,gpt-3.5turbo_de SP_vote,gpt-3.5turbo_de SP_voor_lprob,gpt-3.5turbo_de SP_tegen_lprob,gpt-3.5turbo_de ChristenUnie_vote,gpt-3.5turbo_de ChristenUnie_voor_lprob,gpt-3.5turbo_de ChristenUnie_tegen_lprob,gpt-3.5turbo_DENK_vote,gpt-3.5turbo_DENK_voor_lprob,gpt-3.5turbo_DENK_tegen_lprob,gpt-3.5turbo_PvdD_vote,gpt-3.5turbo_PvdD_voor_lprob,gpt-3.5turbo_PvdD_tegen_lprob,gpt-3.5turbo_SGP_vote,gpt-3.5turbo_SGP_voor_lprob,gpt-3.5turbo_SGP_tegen_lprob,gpt-3.5turbo_de FVD_vote,gpt-3.5turbo_de FVD_voor_lprob,gpt-3.5turbo_de FVD_tegen_lprob,gpt-3.5turbo_Volt_vote,gpt-3.5turbo_Volt_voor_lprob,gpt-3.5turbo_Volt_tegen_lprob,gpt-3.5turbo_JA21_vote,gpt-3.5turbo_JA21_voor_lprob,gpt-3.5turbo_JA21_tegen_lprob
10,2024D03690,tegen,-2.5721974,-0.08178947,voor,-0.0067867744,-5.2501607,tegen,-1.8208123,-0.18077484,voor,-0.054391973,-2.9483852,voor,-0.2694197,-1.4515028,voor,-0.26234525,-1.4791765,voor,-0.59688056,-0.81276953,voor,-0.3556554,-1.2142904,voor,-0.15481946,-1.9691868,tegen,-0.93218243,-0.50465786,voor,-0.14503503,-2.0099185,voor,-0.5748041,-0.83664113,tegen,-3.8230624,-0.023129934,voor,-0.20429216,-1.6938819,tegen,-0.87808865,-0.53877515
11,2024D03662,voor,-0.11008224,-2.4930034,voor,-0.0008963357,-9.789898,voor,-0.0041313535,-6.640644,voor,-0.0010268545,-10.281571,voor,-0.0022331632,-7.0666747,voor,-0.0046286536,-8.896586,voor,-0.0033929024,-8.195143,voor,-0.003667295,-7.418134,voor,-0.0046522687,-5.9553113,voor,-0.0020974453,-6.407087,voor,-0.0017576448,-7.1217165,voor,-0.0055736946,-5.9064507,voor,-0.015403847,-4.2711105,voor,-0.0066594807,-10.912919,voor,-0.002501579,-6.296359
12,2024D03671,tegen,-2.3120172,-0.11234841,voor,-0.07480459,-2.692135,tegen,-1.6694168,-0.21964495,voor,-0.03293542,-3.9058392,voor,-0.17429554,-1.8656236,voor,-0.55155873,-0.8837235,voor,-0.67680526,-0.76575065,tegen,-1.159121,-0.41362232,tegen,-0.9766621,-0.52554744,tegen,-3.116085,-0.059448257,tegen,-0.9670825,-0.4829249,tegen,-1.8986828,-0.16372031,tegen,-2.0863721,-0.13979118,voor,-0.10509533,-2.4570851,tegen,-1.3906974,-0.2924994
13,2024D03711,voor,-0.3581624,-6.338967,voor,-0.043330748,-9.5920315,voor,-0.66601104,-7.3060427,voor,-0.0048437654,-8.102139,voor,-0.0039064693,-8.639618,voor,-0.024223836,-7.4035745,voor,-0.43286896,-7.283392,voor,-0.0050791106,-6.0980873,voor,-0.07967673,-8.230706,voor,-0.12694082,-8.013354,voor,-0.017770467,-6.335254,voor,-0.021998215,-5.471017,voor,-0.2863092,-6.9324884,voor,-0.0025535463,-10.406935,voor,-0.027503232,-7.5556555
14,2024D03645,tegen,-1.9005687,-0.18099469,voor,-0.0059786886,-5.4438066,tegen,-1.7755687,-0.2603386,voor,-0.007801688,-5.0078397,voor,-0.011627258,-4.520302,voor,-0.033111308,-3.4688604,voor,-0.0191293,-4.399073,tegen,-0.8621269,-0.5643211,voor,-0.25089437,-1.5530298,voor,-0.083338015,-2.6146739,voor,-0.00800962,-5.0406785,voor,-0.14584436,-2.01163,voor,-0.6789427,-0.8291445,voor,-0.020199528,-3.9605072,voor,-0.023080895,-3.8474903
15,2024D03647,voor,-0.64581174,-0.75731534,voor,-0.00061450514,-8.483774,voor,-0.065839104,-2.7800782,voor,-0.0055927834,-5.2556634,voor,-0.0236761,-3.8349898,voor,-0.007853972,-4.9887652,voor,-0.024779644,-3.8221352,voor,-0.12922347,-2.1262746,voor,-0.009068781,-5.3122153,voor,-0.011551722,-4.674739,voor,-0.0020756712,-6.649733,voor,-0.029831136,-3.5861113,voor,-0.13731305,-2.0922234,voor,-0.0020762673,-6.740859,voor,-0.013919728,-4.324085
16,2024D03651,tegen,-1.702268,-0.21516745,voor,-0.146649,-2.0383496,tegen,-2.104466,-0.13275772,voor,-0.2103584,-1.6707237,voor,-0.6400755,-0.7576712,voor,-0.18594088,-1.8033096,voor,-0.41125157,-1.1253839,voor,-0.14105636,-2.043585,tegen,-1.0005401,-0.46893725,tegen,-2.524451,-0.087198965,voor,-0.114657804,-2.2406306,voor,-0.5462542,-0.87664706,tegen,-2.4589806,-0.09360324,voor,-0.21730411,-1.645378,voor,-0.4706686,-0.9922598
17,2024D03646,voor,-0.027023202,-3.75062,voor,-0.0012239167,-7.4315124,voor,-0.0063818605,-6.001461,voor,-0.00039552248,-10.191705,voor,-0.0008928788,-9.225729,voor,-0.0044011557,-8.977214,voor,-0.00330747,-9.592218,voor,-0.005425135,-5.319529,voor,-0.0038770314,-6.7455573,voor,-0.0012041618,-8.7662325,voor,-0.001862834,-8.651156,voor,-0.0040034843,-5.7690525,voor,-0.0043145185,-6.8015003,voor,-0.0013314292,-8.762346,voor,-0.0017854909,-6.538553
18,2024D03648,tegen,-1.3782113,-0.38411832,voor,-0.025038134,-9.154545,voor,-0.21055456,-4.10043,voor,-0.0009873193,-7.8801627,voor,-0.008054435,-5.08316,voor,-0.0029210183,-9.458911,voor,-0.009555267,-7.6260276,voor,-0.013384446,-5.2615647,voor,-0.012403461,-6.030485,voor,-0.002086616,-7.1976166,voor,-0.0007354162,-10.173377,voor,-0.09394329,-2.5020053,voor,-0.056365408,-3.7409816,voor,-0.001360713,-8.451833,voor,-0.0019621782,-7.508699
19,2024D03644,voor,-0.2987843,-1.4785194,voor,-0.0011187844,-7.9106817,voor,-0.22486469,-1.6122568,voor,-0.0018766358,-6.5886135,voor,-0.004823838,-5.692436,voor,-0.005757188,-6.3033743,voor,-0.0085174125,-5.201009,voor,-0.02052239,-3.9428723,voor,-0.03069783,-3.8382978,voor,-0.053222217,-3.0079894,voor,-0.008941662,-4.7809296,voor,-0.059472527,-2.8984504,voor,-0.035788033,-3.3995519,voor,-0.0041975942,-5.658714,voor,-0.013660466,-4.367264
20,2024D03633,tegen,-3.2774265,-0.042351406,voor,-0.06951117,-2.8007486,tegen,-2.4320633,-0.09697078,tegen,-0.76183784,-0.63339317,voor,-0.329668,-1.2787495,voor,-0.12748446,-2.1522477,tegen,-1.8500701,-0.18459432,voor,-0.17573164,-1.8381004,tegen,-1.4512477,-0.27687413,tegen,-1.4383211,-0.27633387,voor,-0.0165178,-4.5346127,tegen,-3.4215753,-0.033981062,tegen,-2.6059878,-0.08074603,voor,-0.14029111,-2.1437569,voor,-0.6615687,-0.7284289
21,2024D03641,tegen,-2.1164355,-0.14679475,voor,-0.013192821,-4.4506564,voor,-0.4018701,-1.1694216,voor,-0.038916722,-3.295213,voor,-0.018235747,-4.0428176,voor,-0.078846164,-2.7895606,voor,-0.17996411,-1.8716564,tegen,-0.8038105,-0.6069511,tegen,-0.7486076,-0.6846408,tegen,-0.8530941,-0.5700493,voor,-0.042481545,-3.2412255,voor,-0.6676491,-0.72621804,tegen,-1.4590211,-0.26738593,voor,-0.119249724,-2.2263513,voor,-0.01987236,-4.2442813
22,2024D03637,tegen,-1.5969915,-0.25980657,voor,-0.0036940165,-6.532676,voor,-0.20467265,-1.7061776,voor,-0.0084331315,-4.7958784,voor,-0.040333953,-3.2806275,voor,-0.009823975,-5.895488,voor,-0.035911784,-3.5946448,voor,-0.012684931,-4.6056547,voor,-0.14686505,-2.053735,voor,-0.043157786,-3.2987711,voor,-0.03399247,-3.426912,voor,-0.31237447,-1.327372,voor,-0.5926577,-0.8146616,voor,-0.014562677,-4.2986946,voor,-0.0055797407,-5.529422
23,2024D03632,tegen,-0.99481666,-0.48180088,voor,-0.014980593,-4.3634152,tegen,-0.8892759,-0.63453233,voor,-0.041142084,-3.2215352,voor,-0.12929471,-2.1355698,voor,-0.16517179,-1.8902045,tegen,-2.7191,-0.078601,voor,-0.25427964,-1.5031428,voor,-0.6036979,-0.8219882,voor,-0.5215536,-0.9032789,voor,-0.049612362,-3.0367644,tegen,-1.4405148,-0.27187464,tegen,-2.223312,-0.11730708,voor,-0.09918823,-2.3721528,voor,-0.0133875,-4.3701763
24,2024D03629,tegen,-6.6414375,-0.059274476,Ik kan niet helpen met het geven van een mening over politieke kwesties.,-2.6846309,-1.2088083,"Deze motie is niet correct, aangezien het niet de verantwoordelijkheid van Staatsbosbeheer is om een einde te maken aan de natuurlijke processen in de Oostvaardersplassen. Het is belangrijk om de natuur haar gang te laten gaan en niet in te grijpen in dit ecosysteem. Daarom adviseer ik om tegen deze motie te stemmen.",-8.148529,-2.665357,tegen,-1.1168699,-0.5309877,tegen,-3.6187332,-0.42248216,tegen,-2.5294573,-0.091097206,tegen,-6.334501,-0.2768189,tegen,-3.3730474,-0.050125655,Ik kan niet helpen met het geven van een mening over politieke kwesties.,-3.854464,-1.0100904,tegen,-6.8820744,-0.06123554,tegen,-1.9850525,-0.19329102,tegen,-6.5598764,-0.0024900455,tegen,-4.2323275,-0.04052824,tegen,-4.07883,-0.02636033,tegen,-1.0925395,-0.5192
25,2024D03628,tegen,-6.0508113,-0.004302527,tegen,-2.4943795,-0.102352545,tegen,-4.701676,-0.019682439,tegen,-5.926065,-0.0029960051,tegen,-3.5183542,-0.032689814,tegen,-2.71784,-0.08258797,tegen,-4.7402277,-0.013825551,tegen,-4.1591005,-0.019959655,tegen,-4.1963735,-0.037401833,tegen,-5.663163,-0.0045921113,tegen,-2.2772086,-0.10945543,tegen,-3.7217543,-0.026125183,tegen,-4.3520646,-0.02011728,tegen,-3.3822658,-0.03587407,tegen,-2.6037366,-0.08461363
26,2024D03625,tegen,-0.83484733,-0.63074195,voor,-0.090217054,-2.466909,tegen,-1.844498,-0.1906761,voor,-0.09072234,-2.5338776,voor,-0.087509304,-2.5102675,voor,-0.3376816,-1.2670238,voor,-0.07236236,-2.790176,voor,-0.26294112,-1.6203496,voor,-0.19888186,-1.8236587,voor,-0.5854354,-0.8368087,voor,-0.20719102,-1.6918082,tegen,-3.1859956,-0.044884153,tegen,-2.3365076,-0.12397546,voor,-0.45634753,-1.0227003,voor,-0.0687903,-2.7327936
27,2024D03627,voor,-0.063581854,-2.8877015,voor,-0.0010017282,-7.919884,voor,-0.011689811,-5.1554275,voor,-0.0020788824,-9.500809,voor,-0.00059390126,-8.593457,voor,-0.0014797443,-7.978603,voor,-0.0039746277,-9.183886,voor,-0.001690535,-6.7384324,voor,-0.0071790875,-5.277996,voor,-0.0003006657,-9.470365,voor,-0.0012499966,-7.06132,voor,-0.009664247,-4.8397098,voor,-0.0070055625,-5.106575,voor,-0.0009646999,-7.9834247,voor,-0.0035120493,-5.833012
28,2024D03501,voor,-0.36148214,-1.2183318,voor,-0.0025334521,-8.63923,voor,-0.32673872,-1.3598427,voor,-0.0006665678,-7.9888754,voor,-0.0036935399,-5.842847,voor,-0.0057519684,-5.4558234,voor,-0.0066283355,-9.643066,voor,-0.009735195,-4.8093967,voor,-0.035114713,-3.881743,voor,-0.010373086,-4.6596537,voor,-0.07128297,-2.7071738,voor,-0.017321488,-4.223174,tegen,-0.9906503,-0.4678155,voor,-0.004045514,-6.8783035,voor,-0.002012145,-7.327364
29,2024D03624,tegen,-1.8278563,-0.2013648,tegen,-0.90766346,-0.54457676,tegen,-1.8212428,-0.31907985,voor,-0.64219195,-0.7715331,tegen,-1.9775293,-0.15357567,tegen,-2.1581721,-0.12725587,tegen,-4.2293515,-0.020712271,tegen,-1.6268069,-0.23211922,tegen,-4.760489,-0.016725788,tegen,-1.547776,-0.27105024,voor,-0.35398746,-1.262389,tegen,-1.3994043,-0.28597048,tegen,-2.37977,-0.104289815,tegen,-2.025444,-0.14435568,voor,-0.6709491,-0.7224971
30,2024D03504,tegen,-1.2002531,-1.0928942,voor,-0.0017987079,-7.748539,voor,-0.08988696,-4.100229,voor,-0.008391874,-5.138765,voor,-0.0011211649,-7.6105094,voor,-0.023271453,-4.201767,voor,-0.013054814,-5.0678835,voor,-0.011520379,-4.568386,voor,-0.12006675,-2.370265,voor,-0.013691394,-4.805178,voor,-0.033425868,-4.4342723,voor,-0.15664172,-1.9384468,voor,-0.25308686,-1.8454502,voor,-0.0020107182,-6.894686,voor,-0.010765173,-4.6390743
31,2024D03502,tegen,-6.5009108,-0.039534673,tegen,-3.0084398,-0.07807323,Deze motie is niet concreet genoeg en bevat te veel vage termen. Het is niet duidelijk wie deze onafhankelijke gezaghebbende persoon of instantie zou zijn en hoe zij precies zouden moeten bijdragen aan de rehabilitatie van de agenten. Daarom onthoud ik mij van stemming.,-5.563048,-1.8294988,tegen,-1.9663768,-0.15540458,tegen,-3.6456568,-0.034155037,tegen,-3.8517246,-0.037275285,tegen,-4.8643827,-0.016434794,tegen,-6.468603,-0.003543763,tegen,-5.4970937,-0.029440213,tegen,-6.433578,-0.0043940367,tegen,-6.9363117,-0.0019721694,tegen,-6.634612,-0.0025301182,tegen,-6.5510077,-0.006886935,tegen,-5.401123,-0.006112821,tegen,-6.534047,-0.0037834507
32,2024D03509,tegen,-3.3560612,-0.062293343,voor,-0.56423473,-0.89687634,tegen,-2.446491,-0.3029878,tegen,-0.8756755,-0.56132156,tegen,-2.101251,-0.18384485,tegen,-1.8578976,-0.20832719,tegen,-1.6153008,-0.24338308,tegen,-5.1075373,-0.016039882,tegen,-1.057101,-0.52822,tegen,-4.675978,-0.01292667,tegen,-4.6552567,-0.01233929,tegen,-2.4174883,-0.101801224,tegen,-3.4826624,-0.03380798,tegen,-2.5831218,-0.089665964,voor,-0.32549736,-1.3049057
33,2024D03623,tegen,-2.5439372,-0.2947575,voor,-0.0036379653,-6.070948,voor,-0.31948033,-1.5500978,voor,-0.10935146,-2.2870495,voor,-0.02940977,-3.7183576,voor,-0.060790412,-3.0327237,voor,-0.15979433,-2.2346978,voor,-0.27540836,-1.466374,voor,-0.027092941,-3.8202639,voor,-0.22547132,-1.635248,voor,-0.07632594,-2.6306987,voor,-0.64084804,-0.7647227,tegen,-1.1188875,-0.5266367,voor,-0.053525653,-2.9912336,voor,-0.030450877,-3.6345463
34,2024D03507,tegen,-3.2401338,-0.0439877,voor,-0.08265624,-2.6648552,tegen,-1.6612866,-0.41755983,tegen,-1.7005625,-0.20735262,tegen,-1.8491709,-0.1796477,tegen,-1.0248451,-0.46587563,tegen,-0.8406489,-0.81250215,tegen,-2.1336787,-0.1360038,voor,-0.62768,-0.87281054,tegen,-4.227371,-0.028879017,tegen,-2.309141,-0.1589085,tegen,-1.2409536,-0.35333645,tegen,-1.2506133,-1.1203986,tegen,-0.8877053,-0.5501752,tegen,-0.9890972,-0.4673267
35,2024D03506,voor,-0.06505059,-3.0020204,voor,-0.0017684705,-7.1403184,voor,-0.08062485,-2.6624787,voor,-0.003831191,-5.665012,voor,-0.0037617283,-5.7427964,voor,-0.0076784347,-5.5179324,voor,-0.02376319,-4.6628737,voor,-0.026155258,-3.7044656,voor,-0.044704292,-3.5789602,voor,-0.005109476,-5.699205,voor,-0.001526883,-6.917783,voor,-0.011065863,-4.6546664,voor,-0.05562891,-3.1978886,voor,-0.0061783404,-6.1181893,voor,-0.004665911,-5.5375714
36,2024D03474,tegen,-3.2451336,-0.04682276,voor,-0.0014498754,-7.821982,voor,-0.077131435,-2.6788561,voor,-0.0015224798,-6.9611306,voor,-0.0013439236,-7.1449175,voor,-0.002258618,-7.383513,voor,-0.0034045402,-7.621752,voor,-0.0081620375,-4.9918714,voor,-0.06130641,-2.877318,voor,-0.00014454192,-11.784731,voor,-0.12190587,-2.1733165,voor,-0.0020327305,-6.4575973,voor,-0.41173857,-1.0961182,voor,-0.013140346,-4.3713098,voor,-0.0026894442,-6.0408363
37,2024D03468,tegen,-2.376927,-0.1041417,voor,-0.029759511,-3.6511374,tegen,-0.715385,-0.68679196,voor,-0.03285133,-3.4602613,voor,-0.35311967,-1.2200611,voor,-0.13239512,-2.1799986,voor,-0.11249745,-2.3103905,voor,-0.43277183,-1.051962,tegen,-0.9595531,-0.49134484,tegen,-1.0960932,-0.41220948,voor,-0.0772366,-2.6259313,tegen,-1.0984834,-0.4070772,tegen,-2.3101938,-0.10717745,voor,-0.33972278,-1.2555667,voor,-0.20668109,-1.6978616
38,2024D03463,voor,-0.021032631,-4.022549,voor,-0.0010168524,-8.826302,voor,-0.03507397,-3.5831602,voor,-0.0013916619,-9.492335,voor,-0.0018580805,-6.7169137,voor,-0.0019921588,-7.3553305,voor,-0.0038296524,-6.3678584,voor,-0.0026440257,-6.095988,voor,-0.01037556,-7.8900104,voor,-0.002485646,-9.049995,voor,-0.0022052128,-7.951859,voor,-0.028051987,-3.6180465,voor,-0.010252264,-4.6779084,voor,-0.007521562,-7.9322634,voor,-0.004482462,-9.865562
39,2024D03470,tegen,-3.746825,-0.028374407,voor,-0.01284783,-4.696806,voor,-0.5248046,-0.91552496,voor,-0.09855174,-2.3754377,voor,-0.06724726,-2.7464464,voor,-0.22573322,-1.657042,voor,-0.16611797,-1.9168389,voor,-0.31355798,-1.3249258,voor,-0.039443567,-3.4589534,voor,-0.32537493,-1.2943348,voor,-0.013925477,-4.327612,voor,-0.50613236,-0.93120027,tegen,-4.285162,-0.015014655,voor,-0.012175487,-4.4458914,voor,-0.35131928,-1.2189226
40,2024D03464,voor,-0.22588634,-1.6290236,voor,-0.0007398231,-7.980341,voor,-0.0031092651,-7.8234334,voor,-0.0011180693,-10.026796,voor,-0.0019987042,-11.863817,voor,-0.003981162,-6.837067,voor,-0.005416723,-10.764383,voor,-0.002483031,-8.824659,voor,-0.011199664,-6.968557,voor,-0.001191418,-7.992025,voor,-0.0034427845,-9.855919,voor,-0.0022687318,-7.534089,voor,-0.043680325,-3.1889403,voor,-0.0017148085,-11.383022,voor,-0.0008167737,-9.971104
41,2024D03461,tegen,-5.378556,-0.0067751696,voor,-0.30585915,-1.3410306,tegen,-3.1667068,-0.045973457,voor,-0.32042962,-1.2951,voor,-0.10637992,-2.3013873,voor,-0.3930746,-1.143418,tegen,-3.6276073,-0.03128636,voor,-0.6429277,-0.75306565,tegen,-1.8130708,-0.18127684,tegen,-1.5062997,-0.25511342,voor,-0.18699121,-1.7767282,tegen,-0.8857377,-0.53501445,tegen,-3.7693546,-0.025787972,voor,-0.17737977,-1.8214113,voor,-0.032277968,-3.4786015
42,2024D03467,tegen,-1.9084473,-0.52574164,tegen,-1.0164597,-0.6796734,tegen,-3.1484828,-0.20215759,voor,-0.6422922,-0.7766039,tegen,-1.6457875,-0.82852674,tegen,-3.5465405,-0.044316523,tegen,-2.4652925,-0.68511623,tegen,-1.6014321,-0.26337928,tegen,-1.8667424,-0.2940457,tegen,-1.925945,-0.95006347,voor,-0.29287222,-2.088639,tegen,-1.581512,-0.23979521,tegen,-3.374207,-0.10803459,tegen,-1.6999758,-0.24411757,voor,-0.516237,-1.0572889
43,2024D03471,voor,-0.1811231,-1.8401617,voor,-0.002677322,-8.745618,voor,-0.054174155,-3.0264852,voor,-0.0014880776,-10.013763,voor,-0.0007990269,-8.859175,voor,-0.0031495579,-6.4718194,voor,-0.0060958774,-6.3073673,voor,-0.0073141237,-5.0071425,voor,-0.0046192915,-6.4884524,voor,-0.0025480776,-6.1808586,voor,-0.014781768,-4.2465324,voor,-0.0047668843,-5.969319,voor,-0.024357064,-3.800526,voor,-0.00094445725,-8.785049,voor,-0.004796546,-9.368866
