,id,PVV,GroenLinks-PvdA,VVD,NSC,D66,BBB,CDA,SP,ChristenUnie,DENK,PvdD,SGP,FVD,Volt,JA21,gpt-3.5turbo_vote,gpt-3.5turbo_voor_lprob,gpt-3.5turbo_tegen_lprob
33,2024D03623,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,-1.0,voor,-0.017545823,-4.0552235
34,2024D03507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,-1,-1.0,voor,-0.6706797,-0.7166544
35,2024D03506,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,1,-1.0,voor,-0.057870403,-2.879415
36,2024D03474,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.0042526773,-5.4647574
37,2024D03468,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1,1.0,1,-1.0,-1.0,-1,-1.0,voor,-0.47039473,-0.9804121
38,2024D03463,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.009517482,-4.6608734
39,2024D03470,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,-1,-1.0,tegen,-0.94699085,-0.49092475
40,2024D03464,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.0040949048,-5.5045166
41,2024D03461,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-1.0,1,-1.0,-1,1.0,1.0,-1,1.0,voor,-0.09472044,-2.4041114
42,2024D03467,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,1.0,1,-1.0,1.0,-1,1.0,tegen,-0.70525455,-0.6815481
43,2024D03471,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.017782886,-4.0396295
44,2024D03477,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,-1,1.0,1.0,-1,-1.0,tegen,-1.5322268,-0.24414474
45,2024D03472,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.04586905,-3.105161
46,2024D03459,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.25005716,-1.509346
47,2024D03465,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1,-1.0,1,1.0,-1,1.0,-1.0,-1,-1.0,voor,-0.016272243,-4.132088
48,2024D03453,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,1.0,-1,1.0,tegen,-2.925235,-0.05570728
49,2024D03457,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,-1.0,1.0,1,1.0,voor,-0.0035831993,-5.6354957
50,2024D03473,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.03910567,-3.2656548
51,2024D03469,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,tegen,-0.9068508,-0.5173855
52,2024D03458,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.004848042,-5.3353324
53,2024D03462,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.13385224,-2.0775511
54,2024D03454,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1,1.0,1.0,-1,-1.0,tegen,-13.4308,-1.8074163e-05
55,2024D03466,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.15695813,-1.929667
56,2024D03476,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,-1,-1.0,1.0,-1,-1.0,tegen,-1.3828142,-0.28904125
57,2024D03452,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1,-1.0,-1,1.0,1.0,1,1.0,voor,-0.0030448586,-5.8082056
58,2024D03451,1.0,-1.0,1.0,1.0,1.0,1.0,1,-1.0,1,-1.0,-1,1.0,1.0,1,1.0,voor,-0.00012952226,-9.412203
59,2024D03282,1.0,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,1,-1.0,-1,1.0,1.0,-1,1.0,tegen,-1.371722,-0.29285693
60,2024D02182,1.0,-1.0,1.0,1.0,1.0,1.0,1,-1.0,1,-1.0,-1,-1.0,1.0,-1,1.0,voor,-0.0003122248,-8.301017
61,2024D03281,1.0,1.0,1.0,1.0,-1.0,1.0,1,-1.0,1,-1.0,-1,1.0,1.0,-1,1.0,voor,-0.38107082,-1.1501443
62,2024D03175,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1,-1.0,1,-1.0,-1.0,1,-1.0,voor,-0.16820838,-1.8658631
63,2024D03174,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,1,-1.0,-1.0,-1,-1.0,voor,-0.30142918,-1.3467172
64,2024D03151,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,-1.0,1,-1.0,-1.0,1,-1.0,voor,-0.18961893,-1.7564524
65,2024D03279,1.0,1.0,1.0,1.0,1.0,1.0,1,-1.0,1,1.0,-1,1.0,1.0,1,1.0,voor,-0.0015659268,-6.5149918
66,2024D03020,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.007652654,-4.885773
67,2024D02733,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0020944688,-6.1900463
68,2024D03158,1.0,1.0,-1.0,1.0,-1.0,1.0,-1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.007478021,-4.918407
69,2024D02851,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.009218221,-4.6933537
70,2024D03108,-1.0,1.0,1.0,1.0,1.0,1.0,1,-1.0,1,-1.0,-1,1.0,-1.0,1,1.0,voor,-0.015030841,-4.2640123
71,2024D03118,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.0018576036,-6.2955933
72,2024D03114,1.0,1.0,1.0,-1.0,1.0,1.0,1,-1.0,1,1.0,-1,1.0,1.0,-1,1.0,voor,-0.03688104,-3.3252473
73,2024D03109,1.0,1.0,1.0,1.0,1.0,1.0,1,-1.0,1,1.0,-1,1.0,-1.0,1,1.0,voor,-0.012269338,-4.407455
74,2024D03113,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,tegen,-0.7849905,-0.60931224
75,2024D03110,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,-1,1.0,1.0,1,1.0,voor,-0.0047971383,-5.345743
76,2024D03040,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.008234527,-4.810021
77,2024D03132,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.08860721,-2.4678378
78,2024D03032,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.030307023,-3.5128129
79,2024D03026,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,-1.0,-1.0,1,1.0,voor,-0.011538283,-4.4691916
80,2024D03022,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-1,-1.0,-1,1.0,1.0,-1,1.0,voor,-0.037370842,-3.3059828
81,2024D03024,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.07586583,-2.6167746
82,2024D03036,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.00030769507,-8.142528
83,2024D03033,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.023124343,-3.779888
84,2024D03083,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.2805451,-1.4085625
85,2024D03085,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.00242441,-6.151209
86,2024D03087,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,1.0,1.0,1,1.0,voor,-0.0006079599,-7.4968143
87,2024D03084,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.0012896401,-6.6600842
88,2024D03081,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.0044527897,-5.41924
89,2024D03062,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.21095018,-1.6599171
90,2024D03079,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,-1,1.0,1,1.0,-1.0,1,1.0,voor,-0.027133195,-3.621734
91,2024D03078,1.0,1.0,-1.0,-1.0,1.0,1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,1.0,voor,-0.020855647,-3.8817108
92,2024D03073,-1.0,1.0,-1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.009561523,-4.6598587
93,2024D03070,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.021872614,-3.8349886
94,2024D03069,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.0012039235,-6.740401
95,2024D03074,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,1.0,-1.0,1,1.0,voor,-0.04821495,-3.0573244
96,2024D03063,-1.0,1.0,-1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.008893221,-4.7302065
97,2024D02664,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.014750166,-4.2258515
98,2024D02505,1.0,1.0,1.0,1.0,1.0,1.0,1,-1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0005233657,-7.6328936
99,2024D02485,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,1.0,1,-1.0,1.0,-1,1.0,voor,-0.015416288,-4.181821
100,2024D02508,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1,-1.0,-1,1.0,1.0,1,1.0,voor,-0.06491239,-2.773088
101,2024D02680,1.0,1.0,-1.0,1.0,-1.0,1.0,-1,1.0,1,1.0,1,1.0,1.0,1,-1.0,voor,-0.20817077,-1.6720761
102,2024D02518,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.104536496,-2.310534
103,2024D02659,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0026862293,-5.9272065
104,2024D02641,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,1,-1.0,voor,-0.047144186,-3.0787413
105,2024D02640,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.011172079,-4.504092
106,2024D02643,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,-1.0,1,-1.0,-1.0,1,-1.0,voor,-0.053787775,-2.9506803
107,2024D02644,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.033597294,-3.4134324
108,2024D02638,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1,-1.0,1,-1.0,-1.0,1,-1.0,voor,-0.4807958,-0.963355
109,2024D02532,1.0,-1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,-1,1.0,1.0,-1,1.0,voor,-0.003811592,-5.5753484
110,2024D02642,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.22327575,-1.6095673
111,2024D02531,-1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1,-1.0,1,1.0,1.0,-1,1.0,voor,-0.0036239505,-5.626169
112,2024D02512,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.027267078,-3.6167712
113,2024D02510,1.0,1.0,1.0,1.0,1.0,1.0,-1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.010723894,-4.553233
114,2024D02514,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.003078483,-5.819893
115,2024D02515,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.0046497765,-5.381393
116,2024D02524,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,1,1.0,1,1.0,1.0,1,-1.0,voor,-0.0019134039,-6.2825036
117,2024D02528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1,1.0,1,1.0,1.0,-1,1.0,voor,-0.03991148,-3.2425845
118,2024D02499,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.003262796,-5.734966
119,2024D02502,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,-1.0,1,1.0,voor,-0.017544894,-4.0563993
120,2024D02500,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.012238376,-4.412942
121,2024D02509,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,-1,1.0,1.0,1,1.0,voor,-0.046502158,-3.092019
122,2024D02496,-1.0,1.0,-1.0,1.0,1.0,-1.0,1,1.0,1,-1.0,1,-1.0,-1.0,1,-1.0,voor,-0.08143032,-2.5496082
123,2024D02498,-1.0,1.0,-1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.001282972,-6.6952624
124,2024D02494,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1,1.0,1,1.0,-1,1.0,-1.0,-1,1.0,voor,-0.032222215,-3.452125
125,2024D02492,1.0,-1.0,1.0,1.0,-1.0,1.0,1,1.0,1,1.0,-1,1.0,1.0,1,1.0,voor,-0.00028898742,-8.173848
126,2024D02489,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.002195814,-6.132916
127,2024D02495,,1.0,,1.0,1.0,-1.0,1,,1,-1.0,1,1.0,,1,-1.0,voor,-0.03278615,-3.4348705
128,2024D02487,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,1,-1.0,1.0,-1,-1.0,voor,-0.093673356,-2.4152524
129,2024D02490,-1.0,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,1,1.0,-1,1.0,-1.0,1,1.0,voor,-0.028116433,-3.5859587
130,2024D02484,1.0,-1.0,1.0,1.0,1.0,1.0,-1,-1.0,-1,1.0,-1,1.0,1.0,-1,1.0,voor,-0.14712901,-1.9894485
131,2024D02677,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.31320897,-1.3136476
132,2024D02689,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,1.0,-1,1.0,voor,-0.1703103,-1.8545525
133,2024D02678,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,-1,1.0,1,1.0,1.0,-1,1.0,voor,-0.07563994,-2.6197798
134,2024D02684,1.0,1.0,-1.0,1.0,1.0,1.0,-1,1.0,-1,1.0,1,-1.0,1.0,1,1.0,voor,-0.35538664,-1.2073497
135,2024D02694,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0034094166,-5.6891413
136,2024D02679,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,-1,1.0,1,1.0,1.0,1,1.0,tegen,-0.7966512,-0.59966785
137,2024D02690,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-1,1.0,-1,1.0,1.0,-1,1.0,voor,-0.0785168,-2.5842655
138,2024D02685,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.048347168,-3.0549943
139,2024D02676,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,-1.0,1,-1.0,-1.0,-1,-1.0,voor,-0.43812016,-1.0366747
140,2024D02691,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,1,1.0,-1,1.0,1.0,-1,-1.0,voor,-0.01687689,-4.092957
141,2024D02681,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.14056666,-2.0317676
142,2024D02686,1.0,1.0,1.0,1.0,-1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0049378355,-5.315183
143,2024D02688,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,1.0,-1,1.0,voor,-0.06669549,-2.7415116
144,2024D02687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,1.0,1.0,-1,1.0,voor,-0.08820904,-2.4721203
145,2024D02692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1,1.0,-1,1.0,1.0,-1,-1.0,tegen,-1.4633954,-0.26330692
146,2024D02683,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,1.0,1.0,-1,1.0,voor,-0.0028272234,-5.877585
147,2024D02682,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,1.0,1.0,1,1.0,voor,-0.027497081,-3.6081855
148,2024D02671,1.0,1.0,-1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.007316139,-4.931051
149,2024D02662,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.027933639,-3.5931802
150,2024D02661,1.0,1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.00052145845,-7.5879164
151,2024D02667,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,1,-1.0,1,1.0,1.0,-1,1.0,tegen,-1.8937023,-0.16318387
152,2024D02660,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,-1.0,voor,-0.011282894,-4.4930754
153,2024D02674,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,-1,-1.0,voor,-0.33448216,-1.2579746
154,2024D02670,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-6.253713e-05,-9.831768
155,2024D02672,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,1,1.0,1,-1.0,1.0,1,1.0,voor,-0.033465646,-3.4146035
156,2024D02668,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.11854946,-2.1922112
157,2024D02665,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,1.0,1,1.0,1,1.0,-1.0,1,-1.0,voor,-0.012588528,-4.386463
158,2024D02673,1.0,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1,1.0,-1,1.0,1.0,-1,1.0,voor,-0.021834124,-3.8360775
159,2024D02669,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,-1,1.0,-1,1.0,1.0,-1,1.0,voor,-0.206041,-1.6819493
160,2024D02663,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1,1.0,-1,1.0,1,-1.0,-1.0,1,-1.0,voor,-0.42346913,-1.0640979
161,2024D02657,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.002466621,-6.0145535
162,2024D02658,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.005828303,-5.152982
163,2024D02675,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1,1.0,1,-1.0,1.0,1,-1.0,voor,-0.031812944,-3.4642928
164,2024D02656,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0013529757,-6.6139894
165,2024D02650,-1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1,1.0,1.0,1,1.0,voor,-0.0010355491,-6.9301186
