moties_small,id,moties_volledig
49,2024D03457,"verzoekt de regering om binnen UPOV actief te pleiten voor een ruimere interpretatie, en een uitzonderingspositie van kleinschalige en zelfvoorzie-nende boeren te bewerkstelligen,"
50,2024D03473,"verzoekt de regering een boycot in te stellen op goederen uit illegaal bezet Palestijns gebied,"
51,2024D03469,"verzoekt de regering de opschorting van de financiering van de UNRWA per direct in te trekken,"
52,2024D03458,"verzoekt de regering te onderzoeken wat de verhoudingen is tussen de steun aan multilaterale organisaties en de steun aan deze lokale initiatieven; verzoekt de regering te onderzoeken welke mogelijkheden er binnen de begroting zijn om meer klimaatfinanciering ten goede te laten komen aan lokale maatschappelijke organisaties en boerenorganisaties,"
53,2024D03462,"verzoekt de regering om samen met het bedrijfsleven de mogelijkheden te onderzoeken om kennis en licenties om bijvoorbeeld munitie of andere middelen die Nederland levert te produceren, te delen, zodat dit kan bijdragen aan de productiecapaciteit van Oekraïne zelf,"
54,2024D03454,"verzoekt de regering te stoppen met het beleid van het SDG 5-doel gendergelijkheid in combinatie- en ontwikkelingslanden,"
55,2024D03466,"verzoekt de regering bij de allocatie van humanitaire middelen de prioriteit te geven aan hulp via lokaal gewortelde organisaties en alleen organisaties te steunen die de Grand Bargain naleven, en bij het alloceren van humanitaire middelen de Dutch Relief Alliance (DRA) en het Neder-landse Rode Kruis de voorkeur te geven boven VN-programma’s, wanneer dit het werken via lokale organisaties bevordert,"
56,2024D03476,"verzoekt het kabinet om alle banden met het World Economic Forum te verbreken,"
57,2024D03452,"verzoekt de regering om samen met India te onderzoeken hoe met Nederland een gelijkwaardige handelsrelatie kan worden opgebouwd op basis van wederkerigheid met als doel elkaars economie te versterken en de buitenlandse handel te vergroten,"
58,2024D03451,"verzoekt de regering in overleg te treden met alle sectoren van het bedrijfsleven en met alle regio’s om plannen te maken om de buiten-landse handel te bevorderen, de bedrijfssectoren te versterken en de bestaanszekerheid van Nederlanders te vergroten,"
59,2024D03282,"verzoekt de regering om te onderzoeken of het mogelijk is om via een derogatiebeleid voor wolven in Nederland probleemwolven te identifi-ceren, te verjagen en te bejagen,"
60,2024D02182,verzoekt de regering te onderzoeken wat er nodig en mogelijk is om deze culturele uitingen te behouden voor de toekomst.
61,2024D03281,"verzoekt de regering om op Europees niveau, soortgelijke stappen als in Frankrijk te zetten omtrent het braak laten liggen van landbouwgrond,"
62,2024D03175,"verzoekt de regering met een voorstel te komen om Lelystad Airport definitief niet te openen voor de commerciële burgerluchtvaart; verzoekt de regering tevens in overleg met lokale autoriteiten en inwoners een alternatief te presenteren voor een maatschappelijke investering in de regio,"
63,2024D03174,"verzoekt de regering een landelijk stookverbod in te stellen op basis van de stookwijzer, zodat lokale overheden kunnen handhaven in regio’s met een code oranje en/of rood,"
64,2024D03151,"verzoekt de regering om, naast het pleiten voor het ontnemen van het stemrecht van Hongarije in de Europese Raad, te voorkomen dat Hongarije het roterende voorzitterschap van de Raad vanaf 1 juli aanstaande op zich kan nemen,"
65,2024D03279,"verzoekt de regering om bij de dialoog expliciet het belang te benadrukken van: spoedige toelating van noodzakelijke innovaties zoals kunstmestvervangers/RENURE; •een snellere en goedkopere toelatingsprocedure van groene gewasbe-schermingsmiddelen; •nieuwe veredelingstechnieken te faciliteren en stimuleren; •hulp bieden aan nieuwe bedrijven die toelating verzoeken voor «novel foods»; verzoekt de regering zich ervoor in te spannen dat een routekaart met besluitvormingsmomenten voor toelating van die innovaties uitkomst is van de strategische dialoog, mede in het belang van voedselzekerheid binnen de Europese Unie,"
66,2024D03020,"verzoekt de regering ervoor te zorg dat er volledige medewerking verleen wordt aan zowel de Autoriteit Persoonsgegevens als de Commissie van Toezicht op de Inlichtingen- en Veiligheidsdiensten bij het verrichten van het CTIVD onderzoek over de activiteiten van TOOI en PLOOI in de afgelopen vier jaar,"
67,2024D02733,"verzoekt de regering de inzet van casemanagement dementie (vanaf het moment van het vermoeden van dementie tot aan het overlijden) door te rekenen (in geld en in fte’s) en na te gaan onder welke voorwaarden onafhankelijk casemanagement dementie gestimuleerd kan worden,"
68,2024D03158,verzoekt de regering om bijvoorbeeld een programma zoals voor landelijke Skaeve Huse vorm te geven en de Kamer hierover voor 1 juli as te rapporten.
69,2024D02851,verzoekt de regering om de aanbevelingen van het College voor de Rechten van de Mens over toegankelijkheid van het openbaar vervoer over te nemen; verzoekt de regering tevens het verbeterplan doelgroepenvervoer zo snel mogelijk naar de Kamer te sturen;
70,2024D03108,"verzoekt het kabinet te onderzoeken hoe de Nederlandse industrie meer betrokken kan worden bij zelfstandige productie en licentieproductie in Europa van hoogtechnologische battle decisive munitie en andere munitie zoals klein kaliber; verzoekt het kabinet in samenspraak met relevante bedrijven en kennisin-stellingen een strategie op te stellen voor hoe Nederland een leidende rol kan spelen bij de ontwikkeling en productie van onbemande systemen, en deze in het derde kwartaal van 2024 naar de Kamer te sturen,"
71,2024D03118,"verzoekt het kabinet in kaart te brengen hoe innovatieve technieken kunnen bijdragen aan de vormgeving van de krijgsmacht van de toekomst, met aandacht voor de kansen en risico’s van nieuwe systemen en het effect op de personele opgave en personele gereedheid; verzoekt het kabinet hierover uiterlijk voor het zomerreces aan de Kamer te rapporteren,"
72,2024D03114,verzoekt de regering om in lijn van de motie-Knops voorstellen en/of ruimere interpretatie te onderzoeken met betrekking tot internationaal aanbesteden voor militaire projecten met een groot concept development (CD&E) element.
73,2024D03109,"verzoekt de regering te inventariseren welke regels en procedures momenteel nog het opschalen van externe opleidingscapaciteit belem-meren en deze belemmeringen weg te nemen, en de Kamer hier voor het zomerreces over te informeren,"
74,2024D03113,"verzoekt de Staatssecretaris van Defensie alle medewerkers van Defensie die geen militair of reservist zijn vrijblijvend uit te nodigen om reservist te worden en daar het selectie- of keuringstraject op of te stemmen,"
75,2024D03110,"verzoekt de regering de personele knelpunten rond het NATO Force Model te inventariseren, alsmede de mogelijke scenario’s voor hoe wij toch aan deze verplichting kunnen voldoen, en deze voor de zomer met de Kamer te delen,"
76,2024D03040,"verzoekt de regering de drinkwaterbedrijven dit jaar zo snel mogelijk duidelijkheid te geven over de financieringsruimte met ingang van 2025, en daarbij te verzekeren dat deze financieringsruimte de drinkwaterbe-drijven in staat stelt de noodzakelijke investeringen te doen, zodat zij kunnen blijven voldoen aan hun wettelijke taak, en de Kamer voor het eind van het eerste kwartaal te rapporteren, of in ieder geval voor het volgende debat,"
77,2024D03132,"verzoekt de regering om alles op alles te zetten om wél overal aan de KRW-eisen te voldoen en geen enkel bestuurlijk of juridisch middel uit te sluiten,"
78,2024D03032,"verzoekt de regering ervoor te zorgen dat, totdat het Europese pfas-verbod in werking treedt, er geen nieuwe vergunningen worden afgegeven voor het uitstoten en lozen van pfas,"
79,2024D03026,"verzoekt de regering om een wetswijziging voor te bereiden waarmee een dubbele doelstelling voor waterveiligheid en ruimtelijke kwaliteit de norm wordt,"
80,2024D03022,"verzoekt de regering om in Brussel aan te dringen op soepelere regel-geving ten aanzien van de waterkwaliteit en de bijbehorende KRW-doelen,"
81,2024D03024,"verzoekt de regering om versterking van dijktraject 15–2 binnen het Hoogwaterbeschermingsprogramma te prioriteren om versneld de kans op een overstroming van pompstation Bergambacht terug te brengen naar 1 op 3.000,"
82,2024D03036,"verzoekt de regering om ervoor te zorgen dat de kansen van nature-based solutions in waterprojecten maximaal worden benut,"
83,2024D03033,"verzoekt de regering zo snel mogelijk alle mogelijke maatregelen te onderzoeken en te implementeren om te voldoen aan de voorgestelde pfas-normering en straks in ieder geval geen uitstel te vragen,"
84,2024D03083,"verzoekt het kabinet te bevorderen dat de meldbriefprocedure niet meer gebruikt gaat worden,"
85,2024D03085,"verzoekt de regering om ervoor te zorgen dat duidelijker wordt welke jeugdhulp bewezen effectief is door in overleg met het Nederlands Jeugdinstituut het doel van de database Effectieve jeugdinterventies te verbreden naar een pragmatisch instrument met als doel professionals, aanbieders en gemeenten te helpen kiezen voor het zo veel mogelijk werken met effectieve interventies en werkzame elementen, op basis van onder andere richtlijnen en kwaliteitskaders,"
86,2024D03087,"verzoekt de regering om breed, multidisciplinair wetenschappelijk onderzoek te laten doen naar de factoren die gezond opgroeien van meisjes bepalen en kunnen verbeteren,"
87,2024D03084,"verzoekt de regering om het recht op een steunfiguur voor jeugdigen in de wet te verankeren,"
88,2024D03081,"verzoekt de regering initiatieven gericht op sociale controle en voorbeeld-figuren in de vorm van buurtvaders, voor wie jeugdigen respect hebben, in kaart te brengen en een voorstel uit te werken hoe gemeenten met kwetsbare wijken deze initiatieven in eigen context vorm kunnen geven, en de Kamer hierover te informeren voor het zomerreces,"
89,2024D03062,"verzoekt de regering om de structurele extra bezuiniging van 511 miljoen euro te schrappen,"
90,2024D03079,"verzoekt de regering in het wetsvoorstel Integere bedrijfsvoering zorg- en jeugdhulpaanbieders te komen tot een centraal register voor private-equitypartijen die actief zijn binnen zorg- en jeugdhulpaanbieders,"
91,2024D03078,"verzoekt het kabinet om samen met jeugdhulpmedewerkers, jeugdhulp-aanbieders en gemeenten uniforme toetsingskaders voor jeugdhulp-aanbieders op te stellen die van toepassing zijn op alle jeugdhulp-aanbieders inclusief onderaannemers,"
92,2024D03073,"verzoekt de regering te onderzoeken of er draagvlak is om een pilot op te zetten van rechtepadpleegzorg, waarbij goede ondersteuning verzorgd wordt voor de pleegouders, en bij voldoende draagvlak deze pilot op te zetten,"
93,2024D03070,"verzoekt de regering op basis van deze pilots voor het volgende wetge-vingsoverleg met een plan te komen hoe de positieve ervaringen van het Mockingbirdmodel ingezet kunnen worden voor meer pleegouders,"
94,2024D03069,"verzoekt de regering in gesprek te gaan met het Nederlands Jeugdin-stituut en andere relevante kennisorganisaties om hen de effectiviteit van verschillende methodes voor de mentale weerbaarheid van jongeren te laten vaststellen en scholen hierover te informeren, waarbij expliciet aandacht is voor methodes die bewezen niet werken,"
95,2024D03074,"verzoekt de regering kleinschalige intensieve jeugdzorg op landelijk niveau in te kopen met als doel dat het aanbod landelijk dekkend is en er scherp ingekocht wordt op de goede kwaliteit,"
96,2024D03063,"verzoekt de regering te onderzoeken hoe dit soort organisaties net als politieke jongerenorganisaties en studenten- en scholierenorganisaties structureel financieel ondersteund kunnen worden, en de Kamer voor de begroting in het najaar opties te sturen,"
97,2024D02664,"verzoekt de regering om met een plan te komen voor een rookverbod ten aanzien van plekken waar veel kinderen komen, zoals in pretparken, speeltuinen en openluchtzwembaden; verzoekt de regering om ervaringen en de haalbaarheid te onderzoeken van een breder verbod van roken in de nabijheid van kinderen, en de Kamer daarover binnen zes maanden te informeren,"
98,2024D02505,"verzoekt de regering te bevorderen dat concessie verlenende provincies en gemeenten tekorten aan vrijwilligers bij buurtbussen kunnen tegengaan, zodat de dienstregeling op peil blijft en voorzieningen in de regio bereikbaar blijven,"
99,2024D02485,"verzoekt de regering om in het toekomstig beloningsbeleid van NS en ProRail een flink deel van de salarissen van de topbestuurders prestatieaf-hankelijk te laten zijn,"
100,2024D02508,"verzoekt de regering een maritieme autoriteit op te richten,"
101,2024D02680,"verzoekt de regering om Intravacc in publieke handen te houden,"
102,2024D02518,"verzoekt de regering opnieuw te luisteren naar het pleidooi van de provincie Limburg; verzoekt de regering de mogelijkheden te onderzoeken om van de Maaslijn een rijksproject te maken en ook te kijken naar opties voor financiële tegemoetkoming van de provincie Limburg,"
103,2024D02659,verzoekt de regering te bewerkstelligen dat deze mensen zonder veilig-heidsrisico’s medische zorg kunnen ontvangen en de Kamer hierover voor de zomer te informeren;
104,2024D02641,"verzoekt de regering om in Europees verband een staakt-het-vuren in Gaza te bepleiten,"
105,2024D02640,"verzoekt de regering om in Europees verband te bepleiten dat er spoedig aanvullende middelen vrijgemaakt worden voor noodhulp aan de burgerbevolking in Gaza en de bezette Palestijnse gebieden,"
106,2024D02643,"verzoekt het kabinet zich bij de komende Europese Raad helder en standvastig op te blijven stellen richting Hongarije, zich in te zetten voor voorspelbare en duurzame financiële steun aan Oekraïne, zonder daarbij concessies te doen aan Hongarije, met name gericht op het gebied van de Hongaarse rechtsstaat,"
107,2024D02644,"verzoekt de Commissie van advies inzake volkenrechtelijke vraagstukken een spoedadvies uit te brengen aan de Kamer over de vraag of er sprake is van schendingen van het internationaal humanitair recht bij het militair optreden van Israël in Gaza,"
108,2024D02638,"verzoekt de regering niet in te stemmen met compromisvoorstellen in de richting van Hongarije, maar in plaats daarvan de voorkeur te geven aan een deal met 26 lidstaten,"
109,2024D02532,"verzoekt de regering ervoor te zorgen dat de aanpak van knooppunt Hoevelaken prioriteit krijgt, en in overleg met de betrokken provincies alles op alles te zetten om ervoor te zorgen dat het project doorgang kan vinden,"
110,2024D02642,"verzoekt de regering om in Europees verband te bepleiten om Israël op te roepen om de door het Israëlische leger ondersteunde en uitgevoerde repressie op de Westbank per direct te stoppen,"
111,2024D02531,"verzoekt de regering te onderzoeken wat de mogelijkheden zijn om het verlaagde btw-tarief voor meer reparatiediensten te laten gelden, en de Kamer hierover voor de zomer te informeren,"
112,2024D02512,"verzoekt de regering in de loop van dit jaar een onafhankelijke evaluatie te laten uitvoeren naar het sluiten van de nautische post Vuurtoren Westhoofd en op basis daarvan, in overleg met alle regionale partners (gemeente, maritieme en visserijsector, recreatievaart en watersport), de sluiting tegen het licht te houden en te bezien hoe de verloren gegane functies opnieuw ingevuld kunnen worden,"
113,2024D02510,"verzoekt de regering om zo snel mogelijk met de mobiliteitssector in gesprek te treden om te kijken wat er verder gedaan moet worden om te zorgen dat de sector vertrouwen krijgt om tot die tijd niet geconfronteerd te worden met keuzes die de bedrijfsvoering bemoeilijken,"
114,2024D02514,"verzoekt de regering een evaluatie uit te voeren naar de prijsbijstellings-systematiek voor investeringen uit het Mobiliteitsfonds en Deltafonds in het afgelopen decennium, daarbij tevens vooruit te blikken op het komende decennium, en waar nodig en mogelijk met verbetervoorstellen te komen zodat de prijsbijstellingssystematiek de reële kostenontwikkeling structureel bijhoudt, en de Kamer hierover voor de begrotingsbehan-deling van 2025 te informeren,"
115,2024D02515,"verzoekt de regering in kaart te brengen hoeveel fte de ILT de komende jaren nodig heeft om een veilige en gezonde leefomgeving te kunnen garanderen,"
116,2024D02524,"verzoekt de regering om zich ervoor in te spannen dat het duidelijk op cosmeticaproducten moet worden vermeld als er pfas in is verwerkt, bijvoorbeeld door middel van een etiket,"
117,2024D02528,"spreekt uit dat de btw op het repareren van producten moet worden afgeschaft,"
118,2024D02499,"verzoekt de regering om te komen met een nationaal tijdpad en een concrete uitvoeringsagenda voor het wél behalen van de WHO-advieswaarden voor luchtkwaliteit,"
119,2024D02502,"verzoekt de regering om samen met werkgevers, werknemers en onderwijsinstellingen tot een landelijke aanpak te komen om woon-werkverkeer beter te spreiden over de dag en de week; verzoekt de regering hierin als werkgever het goede voorbeeld te geven,"
120,2024D02500,"verzoekt de regering het mogelijk te maken voor alle omwonenden van Chemours en de Westerschelde om hun bloed te laten testen op de aanwezigheid van pfas,"
121,2024D02509,"verzoekt de regering de mogelijkheden voor een algemene regeling op internationaal niveau met betrekking tot de CCR-eisen voor kleine schepen te onderzoeken; verzoekt het kabinet te bezien of bij de uitwerking van een mogelijke algemene regeling de technisch moeilijke uitvoerbaarheid en onevenredig hoge kosten meegenomen kunnen worden in de bepalingen,"
122,2024D02496,"verzoekt de regering om snel andere maatregelen te nemen of met de sector bindend af te spreken, die merkbaar effectief verlichting brengen, zoals een zeer forse vermindering van nachtvluchten, het uitfaseren van oude en lawaaiige vliegtuigen of andere effectieve middelen,"
123,2024D02498,"verzoekt de regering om in aanloop naar de begroting van 2025 te bezien of structurele aanvullende bekostiging mogelijk is voor versterking van de kwaliteit van de omgevingsdiensten,"
124,2024D02494,"verzoekt de Minister voor de zomer aan de Kamer terug te koppelen hoe stillere en schonere activiteiten en vluchten eerder dan 2027 gewaardeerd kunnen worden,"
125,2024D02492,"verzoekt de regering met voorrang te kijken naar een oplossing voor Mariënheem; verzoekt de regering binnen de bestaande plannen voor de aanpak van de N35 met voorrang te kijken naar het traject rondom Mariënheem en allereerst te beginnen met het aanleggen van een ringweg rond Mariënheem zodra dit stikstoftechnisch mogelijk is; verzoekt de regering de Kamer voor het zomerreces te informeren over de voortgang,"
126,2024D02489,"verzoekt de staatsecretaris van IenW om in samenspraak met het Ministerie van JenV en de vervoerders een aanvalsplan op te stellen om de veiligheid in het openbaar vervoer en op stations te verbeteren,"
127,2024D02495,"verzoekt de regering om voor de komende vaststelling van luchthaventa-rieven in te zetten op een veel sterkere differentiatie op geluid en uitstoot,"
128,2024D02487,"verzoekt de regering om het bijmengen van biobrandstoffen niet eerder toe te passen dan nadat er een (veld)onderzoek heeft plaatsgevonden betreffende biobrandstoffen en het effect daarvan op de veiligheid in de luchtvaartsector,"
129,2024D02490,"verzoekt de regering om binnen drie maanden met een concreet voorstel te komen hoe de rapportageplicht kan worden versimpeld, door te werken met een minder intensief administratief proces en door gebruik te maken van schattingen,"
130,2024D02484,"verzoekt de regering te onderzoeken of een gepersonaliseerd kenteken ingevoerd kan worden; verzoekt de regering bij dat onderzoek niet alleen te kijken naar een gepersonaliseerd kenteken dat gekoppeld is aan een persoon maar ook aan een voertuig; verzoekt de regering tevens de Kamer voor het zomerreces te voorzien van de resultaten en de bijbehorende kosten-batenanalyse,"
131,2024D02677,"verzoekt de regering in het wetsvoorstel Integere bedrijfsvoering zorg- en jeugdhulpaanbieders de noodzakelijke stappen te zetten die ervoor zorgen dat binnen de gehele zorg eigenaarschap van private-equitypartijen tot het verleden gaat behoren,"
132,2024D02689,"verzoekt de regering om de accijnsverhoging van 1 januari jongstleden terug te draaien en af te zien van verdere accijnsverhogingen,"
133,2024D02678,"verzoekt het kabinet een stop in te stellen op het sluiten van (delen van) ziekenhuizen om goede zorg te waarborgen,"
134,2024D02684,"verzoekt de regering om het gebruik van de vijfminutenregistratie door zorgaanbieders te verbieden,"
135,2024D02694,"verzoekt de regering er topprioriteit van te maken om psychiatrische patiënten die zonder strafblad noodgedwongen in een tbs-kliniek zitten, zo snel mogelijk onder te brengen in een instelling die bij hun complexe problematiek past, waardoor zij een passend behandeltraject kunnen volgen,"
136,2024D02679,"verzoekt de regering om de 45 minutennorm niet te versoepelen,"
